MOFname,CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_error_P0.15bar_T298K [mmol/g],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_P0.15bar_T298K [kcal/mol],excess_CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_error_P0.10bar_T363K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_error_CO2_P0.10bar_T363K [kcal/mol],excess_CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.70bar_T413K [mmol/g],CO2_uptake_error_P0.70bar_T413K [mmol/g],heat_adsorption_CO2_P0.70bar_T413K [kcal/mol],heat_adsorption_error_CO2_P0.70bar_T413K [kcal/mol],excess_CO2_uptake_P0.70bar_T413K [mmol/g],working_capacity_vacuum_swing [mmol/g],working_capacity_temperature_swing [mmol/g],CO2_binary_uptake_P0.15bar_T298K [mmol/g],CO2_binary_uptake_error_P0.15bar_T298K [mmol/g],heat_adsorption_CO2_binary_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_binary_P0.15bar_T298K [kcal/mol],excess_CO2_binary_uptake_P0.15bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_error_P0.85bar_T298K [mmol/g],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_error_N2_binary_P0.85bar_T298K [kcal/mol],excess_N2_binary_uptake_P0.85bar_T298K [mmol/g],CO2/N2_selectivity,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],largest_free_sphere_diameter(PLD)[A],largest_included_sphere_along_free_sphere_path_diameter(LCD)[A],largest_included_sphere_diameter(GLD)[A],functional_groups,metal_linker,organic_linker1,organic_linker2,topology
str_m5_o16_o16_sra_sym.77,5.955197,0.117622,9.223227,0.546586,5.955127,0.840043,0.295803,7.972884,5.106942,0.840004,1.496286,0.575907,8.155453,5.646149,1.496049,5.115154,4.458911,5.220817,0.226057,9.057156,1.171093,5.220747,0.240941,0.029948,4.978045,1.516875,0.240728,109.7867921,2473.186302,1493.01184,613.3,0.14835,0.148,4.6137,3.78047,4.6137,Pr,9,16,16,sra
str_m5_o13_o18_sra_sym.149,5.524486,0.155094,8.674098,0.753841,5.524486,0.688965,0.191963,7.546794,3.803472,0.688965,1.210915,0.455165,7.71165,5.180397,1.210915,4.835521,4.313571,5.428172,0.076495,7.547253,0.319204,5.428172,0.194073,0.019983,4.474539,2.182381,0.194073,141.7133663,2514.627698,1504.68312,0,0.1798,0.181,4.24711,3.26179,4.24603,NO2,9,13,18,sra
str_m5_o16_o16_sra_sym.37,5.715251,0.034598,8.391884,0.149962,5.715251,0.901656,0.283054,8.343676,4.785696,0.901656,1.310869,0.504193,7.9817,5.508588,1.310869,4.813595,4.404382,5.286735,0.28315,9.167069,1.464589,5.286735,0.211381,0.026293,5.487318,7.237856,0.211381,126.7196389,2419.885159,1444.7968,0,0.16099,0.1624,4.1021,3.39756,4.10055,OMe,9,16,16,sra
str_m5_o10_o29_sra_sym.33,5.295262,0.137719,7.648834,0.59109,5.294858,0.64009,0.153825,7.039756,3.036856,0.639869,1.164364,0.363162,6.758703,3.704084,1.163006,4.655172,4.130898,5.212502,0.299858,8.510197,1.527785,5.212098,0.316897,0.038624,4.825069,2.55356,0.315324,83.33941354,3445.359928,1932.95088,1890.74,0.23881,0.2563,5.84914,4.52538,5.49398,NO2,9,10,29,sra
str_m5_o16_o16_sra_sym.31,5.451593,0.051989,8.711414,0.260774,5.451476,0.797098,0.254966,8.247735,4.814885,0.797034,1.627107,0.582124,8.482574,5.482311,1.626713,4.654495,3.824486,5.323548,0.161734,9.274585,0.88043,5.323431,0.264817,0.022087,4.881124,0.918682,0.264817,101.8538961,2415.251225,1436.90552,1347.04,0.15634,0.1583,4.37077,3.49681,4.16451,Et,9,16,16,sra
str_m5_o10_o29_sra_sym.35,5.156672,0.009645,6.629165,0.060935,5.156178,0.532889,0.065539,6.792227,1.493294,0.532619,1.323897,0.355978,7.318015,3.494068,1.322236,4.623783,3.832775,4.584183,0.029318,6.487361,0.099352,4.58369,0.345834,0.00318,3.84495,0.10035,0.343853,67.16091304,3441.66214,1813.0192,2069.11,0.25127,0.2872,5.88142,4.72918,5.39206,NH2,9,10,29,sra
str_m3_o10_o29_pcu_sym.108,5.116552,0.046213,8.767937,0.251378,5.11648,0.647612,0.150301,7.972073,3.365569,0.647572,1.123475,0.304859,7.509684,3.630156,1.123232,4.46894,3.993077,3.95535,0.113156,8.272317,0.714725,3.955278,0.279016,0.011596,4.793316,0.516653,0.279016,71.82541503,1820.509911,1075.56628,932.2,0.15198,0.1549,4.28048,3.31719,4.13111,Pr-COOH,3,10,29,pcu
str_m2_o10_o29_pcu_sym.146,5.04992,0.022572,7.135096,0.090932,5.049353,0.65151,0.112447,7.044624,2.182722,0.651199,1.419174,0.430775,6.964922,3.730017,1.417264,4.39841,3.630746,4.338569,0.00663,7.150876,0.037459,4.338002,0.483151,0.003592,4.42827,0.082491,0.480875,45.49733506,1737.740276,899.7198,2331.61,0.26809,0.3118,5.50668,5.1096,5.50668,H,2,10,29,pcu
str_m2_o10_o29_pcu_sym.228,5.084852,0.03253,7.470089,0.140201,5.084443,0.688221,0.141972,6.996363,2.588919,0.687997,1.264899,0.300533,6.663633,2.776492,1.263521,4.396631,3.819953,4.499114,0.025831,7.053462,0.112028,4.498704,0.360474,0.017276,4.037421,0.382618,0.358912,63.23760086,1751.202514,949.73872,2074.92,0.23934,0.2658,5.36711,4.55893,5.36124,CN,2,10,29,pcu
str_m2_o10_o29_pcu_sym.90,4.967443,0.019995,7.03838,0.074245,4.967034,0.578571,0.108886,7.071526,2.390188,0.578348,1.511743,0.43885,6.889703,3.523584,1.510367,4.388872,3.4557,4.822348,0.003772,7.100525,0.020245,4.82194,0.34335,0.000597,4.166761,0.062512,0.341833,71.16129275,1738.962212,968.60992,2161.77,0.24673,0.2668,5.29433,4.23457,5.21959,Cl,2,10,29,pcu
