ids,target,prediction
str_m3_o10_o13_pcu_sym.37,3.986,4.3281426
str_m5_o4_o18_sra_sym.98,3.89575,4.018878
str_m4_o4_o22_acs_sym.5,5.63681,5.7563677
str_m3_o14_o22_pcu_sym.193,6.02968,5.499393
str_m3_o41_o41_fof_sym.30,9.45461,9.012067
str_m4_o1_o22_acs_sym.152,5.66739,5.9659877
str_m5_o16_o24_sra_sym.2,4.11002,4.081871
str_m7_o9_o22_bcu_sym.25,6.62427,6.481792
str_m3_o14_o22_pcu_sym.138,4.8098,4.869006
str_m3_o13_o18_pcu_sym.156,6.9056,6.515825
str_m2_o9_o18_pcu_sym.144,5.6086,5.5961294
str_m4_o5_o24_acs_sym.37,5.38419,5.2731485
str_m5_o2_o17_sra_sym.59,4.24972,4.824291
str_m2_o16_o16_pcu_sym.74,5.28651,5.563546
str_m5_o2_o23_sra_sym.17,4.34999,4.179182
str_m4_o4_o15_acs_sym.35,4.69218,5.004656
str_m2_o14_o14_pcu_sym.152,5.46767,6.1940007
str_m2_o9_o18_pcu_sym.88,7.15895,6.1898518
str_m5_o17_o18_sra_sym.36,6.94443,7.3181806
str_m3_o10_o15_pcu_sym.33,4.2376,4.6702633
str_m5_o16_o25_sra_sym.22,5.94331,6.412753
str_m2_o24_o29_pcu_sym.73,6.48725,6.3944426
str_m2_o16_o22_pcu_sym.34,5.50091,5.350505
str_m2_o40_o41_fof_sym.67,8.56412,8.523517
str_m3_o13_o13_pcu_sym.25,6.51633,6.595136
str_m2_o9_o16_pcu_sym.114,5.29782,5.902804
str_m3_o10_o29_pcu_sym.116,6.51905,6.370949
str_m5_o7_o16_sra_sym.46,8.65361,8.192984
str_m2_o2_o12_pcu_sym.162,5.19064,5.131467
str_m2_o9_o18_pcu_sym.66,4.61331,5.1781635
str_m3_o5_o27_pcu_sym.77,4.95337,4.954816
str_m7_o4_o10_bcu_sym.95,8.01061,7.713311
str_m2_o10_o17_pcu_sym.55,4.13807,4.107362
str_m5_o16_o17_sra_sym.202,5.01385,5.939343
str_m2_o14_o22_pcu_sym.66,5.43387,4.8618107
str_m5_o2_o19_sra_sym.99,4.14494,4.160318
str_m5_o7_o18_sra_sym.65,7.18342,7.5545573
str_m3_o14_o22_pcu_sym.144,6.05638,5.6028385
str_m2_o4_o9_pcu_sym.106,4.7388,4.723535
str_m3_o10_o18_pcu_sym.21,4.43512,4.5422487
str_m2_o1_o13_pcu_sym.205,5.52423,5.7568526
str_m2_o10_o26_pcu_sym.53,4.46035,4.60315
str_m3_o17_o21_pcu_sym.164,5.92235,5.996351
str_m2_o1_o16_pcu_sym.133,5.66105,5.2712884
str_m2_o4_o23_pcu_sym.174,5.1886,5.0956674
str_m5_o3_o18_sra_sym.45,8.49076,8.956719
str_m2_o1_o29_pcu_sym.160,5.4399,5.469254
str_m4_o22_o22_acs_sym.80,6.04267,5.8028035
str_m5_o18_o20_sra_sym.10,5.73492,5.636477
str_m4_o1_o14_acs_sym.134,5.25671,5.4211316
str_m3_o12_o16_pcu_sym.92,5.88644,6.0145855
str_m4_o11_o15_acs_sym.240,5.68368,5.303811
str_m5_o11_o16_sra_sym.54,4.45739,4.6764817
str_m4_o4_o11_acs_sym.203,5.68943,5.5103073
str_m2_o1_o18_pcu_sym.213,7.00164,6.9656324
str_m2_o9_o13_pcu_sym.167,5.13592,5.228871
str_m4_o17_o17_acs_sym.77,8.06683,6.963675
str_m3_o1_o6_pcu_sym.116,6.44878,6.0950966
str_m4_o11_o15_acs_sym.58,4.94549,5.3719096
str_m2_o10_o17_pcu_sym.32,5.49484,5.64135
str_m4_o11_o15_acs_sym.36,4.97158,5.3780265
str_m5_o11_o18_sra_sym.42,4.45378,4.550258
str_m5_o16_o19_sra_sym.219,4.11587,4.250131
str_m2_o10_o14_pcu_sym.163,4.81548,4.709208
str_m5_o29_o29_sra_sym.49,14.30657,17.113655
str_m5_o13_o18_sra_sym.59,3.77559,4.23608
str_m5_o16_o18_sra_sym.93,3.78519,3.8837814
str_m5_o16_o19_sra_sym.103,4.85267,4.7798014
str_m4_o22_o22_acs_sym.11,5.99509,5.970978
