ids,target,prediction
str_m5_o16_o19_sra_sym.34,4.84501,4.8475657
str_m4_o1_o15_acs_sym.51,5.98112,5.3583817
str_m3_o10_o13_pcu_sym.129,3.99017,4.379212
str_m3_o10_o28_pcu_sym.91,5.17858,4.8749638
str_m3_o10_o29_pcu_sym.186,5.73321,5.7372985
str_m5_o17_o25_sra_sym.94,4.77309,4.5630555
str_m2_o10_o14_pcu_sym.22,4.14453,4.526927
str_m2_o4_o9_pcu_sym.85,4.6551,5.1160913
str_m4_o22_o24_acs_sym.80,5.93689,5.537775
str_m3_o12_o17_pcu_sym.51,6.69337,6.2276096
str_m7_o9_o11_bcu_sym.58,6.66381,6.75699
str_m3_o38_o41_fof_sym.111,7.9725,8.097184
str_m2_o9_o24_pcu_sym.4,4.22868,5.3019414
str_m7_o4_o9_bcu_sym.81,6.40467,6.577003
str_m3_o1_o17_pcu_sym.131,6.19403,6.085546
str_m5_o12_o2_sra_sym.169,4.1474,4.135591
str_m3_o4_o10_pcu_sym.225,4.86094,4.8050704
str_m5_o18_o25_sra_sym.78,5.42553,5.524853
str_m5_o1_o2_sra_sym.209,4.61936,5.1327367
str_m3_o22_o22_pcu_sym.104,5.45097,5.8895006
str_m4_o4_o11_acs_sym.13,5.85502,5.533137
str_m2_o10_o29_pcu_sym.204,4.79869,4.665664
str_m3_o40_o41_fof_sym.195,8.25036,8.983087
str_m3_o11_o12_pcu_sym.244,5.4704,4.852497
str_m3_o1_o14_pcu_sym.81,5.63606,5.657622
str_m5_o18_o22_sra_sym.29,4.2453,4.0814595
str_m5_o18_o23_sra_sym.90,7.29611,7.3965416
str_m3_o4_o5_pcu_sym.99,4.51251,5.1065965
str_m3_o10_o17_pcu_sym.34,4.26359,4.4197493
str_m3_o1_o13_pcu_sym.151,6.43916,5.5304747
str_m2_o1_o13_pcu_sym.123,5.34175,6.0404944
str_m4_o1_o4_acs_sym.114,5.98378,5.621232
str_m2_o14_o16_pcu_sym.140,5.30694,5.7851114
str_m2_o4_o11_pcu_sym.188,5.2106,4.869088
str_m3_o4_o18_pcu_sym.199,6.82005,7.1843295
str_m3_o10_o25_pcu_sym.170,3.55546,4.320289
str_m7_o9_o22_bcu_sym.18,6.53118,6.6950135
str_m3_o4_o18_pcu_sym.229,6.36152,6.2480407
str_m4_o4_o9_acs_sym.80,4.45096,4.7737813
str_m3_o1_o18_pcu_sym.2,5.52599,6.304332
str_m7_o4_o10_bcu_sym.54,6.5005,5.7167487
str_m2_o14_o14_pcu_sym.41,6.7286,6.4627995
str_m2_o10_o26_pcu_sym.77,4.77682,4.726699
str_m4_o22_o22_acs_sym.35,5.92538,5.476272
str_m4_o4_o22_acs_sym.164,5.71692,5.4041743
str_m2_o10_o13_pcu_sym.92,4.60316,4.9921017
str_m3_o38_o40_fof_sym.18,8.51121,8.085627
str_m3_o11_o18_pcu_sym.122,5.54791,5.8713975
str_m2_o10_o28_pcu_sym.233,5.49498,5.518763
str_m5_o2_o25_sra_sym.39,4.8464,4.4256134
str_m5_o13_o17_sra_sym.54,3.87042,3.9264133
str_m3_o14_o18_pcu_sym.149,6.37079,6.1494994
str_m4_o4_o24_acs_sym.137,4.64122,5.5409927
str_m2_o14_o19_pcu_sym.88,5.85687,4.9094925
str_m4_o4_o24_acs_sym.20,5.83792,5.5801744
str_m2_o10_o16_pcu_sym.55,4.71655,4.718733
str_m5_o16_o22_sra_sym.62,4.03424,4.1263957
str_m3_o4_o18_pcu_sym.71,6.7884,6.264039
str_m2_o14_o18_pcu_sym.35,7.35439,7.726758
str_m3_o12_o16_pcu_sym.216,6.2582,6.400288
str_m2_o22_o22_pcu_sym.69,5.11087,5.239781
str_m4_o22_o24_acs_sym.59,4.99687,5.4147577
str_m5_o16_o25_sra_sym.22,5.94331,5.3755984
str_m2_o10_o17_pcu_sym.114,4.42824,4.3318787
str_m5_o11_o2_sra_sym.223,4.99798,4.8217015
str_m2_o9_o17_pcu_sym.91,5.93761,5.739367
str_m2_o10_o17_pcu_sym.213,3.88074,4.4235997
str_m3_o10_o16_pcu_sym.83,4.50609,4.7149405
str_m3_o10_o21_pcu_sym.159,4.21415,4.0363865
str_m3_o14_o17_pcu_sym.179,6.76901,6.0877347
str_m2_o18_o22_pcu_sym.223,5.88381,5.8467317
str_m2_o9_o21_pcu_sym.57,5.14145,4.952022
str_m2_o1_o14_pcu_sym.156,5.58301,5.892622
str_m3_o10_o16_pcu_sym.108,4.96454,4.917027
str_m5_o13_o18_sra_sym.38,4.11771,4.175953
str_m2_o5_o29_pcu_sym.104,6.36247,6.7771716
str_m3_o10_o29_pcu_sym.149,4.9781,5.161394
str_m2_o4_o17_pcu_sym.92,5.63531,6.8067794
str_m5_o6_o16_sra_sym.68,7.70346,7.260071
str_m2_o10_o29_pcu_sym.223,5.21567,4.727037
str_m4_o5_o24_acs_sym.177,4.71862,4.9470663
str_m3_o11_o16_pcu_sym.183,6.38786,5.966536
str_m5_o16_o24_sra_sym.96,3.93193,4.2353287
str_m2_o40_o41_fof_sym.36,7.69267,7.6205926
str_m7_o4_o9_bcu_sym.163,4.88488,6.5705605
str_m2_o14_o16_pcu_sym.39,6.03405,6.1661744
str_m5_o7_o16_sra_sym.33,6.95894,8.472176
str_m2_o10_o18_pcu_sym.130,4.96906,5.131006
str_m4_o2_o17_acs_sym.173,6.2049,6.6207013
str_m2_o16_o18_pcu_sym.40,5.99828,6.260175
str_m5_o16_o24_sra_sym.88,4.06375,4.0146537
str_m2_o10_o29_pcu_sym.17,5.27395,5.202299
str_m2_o1_o18_pcu_sym.135,6.74929,6.7732983
str_m5_o7_o16_sra_sym.77,7.74977,6.839806
str_m4_o11_o22_acs_sym.174,5.24263,5.1826005
str_m5_o2_o19_sra_sym.18,3.67608,4.309783
str_m5_o13_o16_sra_sym.60,5.61563,5.41649
str_m5_o2_o23_sra_sym.47,4.09894,4.3087564
str_m2_o5_o29_pcu_sym.86,6.13136,6.5582137
str_m2_o41_o41_fof_sym.45,7.26691,7.298437
str_m2_o12_o15_pcu_sym.12,5.40589,5.535155
str_m2_o16_o22_pcu_sym.126,5.03892,5.6572022
str_m3_o14_o22_pcu_sym.268,5.79287,5.040884
str_m4_o1_o24_acs_sym.93,4.99985,4.8371854
str_m2_o4_o14_pcu_sym.111,6.11302,6.2473297
str_m3_o10_o15_pcu_sym.123,3.87403,4.022824
str_m5_o2_o23_sra_sym.229,4.15735,4.485047
str_m4_o11_o15_acs_sym.122,5.19302,5.1418314
str_m2_o14_o16_pcu_sym.138,5.64433,6.209559
str_m2_o12_o25_pcu_sym.246,4.14388,4.7693143
str_m7_o12_o24_bcu_sym.16,5.85893,5.844153
str_m2_o4_o13_pcu_sym.134,6.07915,5.8863664
str_m7_o9_o13_bcu_sym.102,5.27164,5.634941
str_m2_o4_o16_pcu_sym.139,6.95397,6.340392
str_m4_o4_o4_acs_sym.24,4.61946,4.677323
str_m5_o13_o16_sra_sym.93,5.28571,5.689552
str_m3_o10_o15_pcu_sym.56,4.89232,4.6235566
str_m5_o16_o17_sra_sym.43,7.04926,6.5354657
str_m2_o10_o29_pcu_sym.186,6.28812,5.4497705
str_m7_o9_o12_bcu_sym.47,6.91431,6.5925937
str_m2_o10_o29_pcu_sym.67,5.49653,5.5906315
str_m5_o2_o17_sra_sym.72,6.41678,4.5545373
str_m2_o1_o10_pcu_sym.73,5.15265,4.968513
str_m5_o13_o16_sra_sym.86,5.65915,5.8456388
str_m3_o4_o11_pcu_sym.76,4.90174,5.141358
str_m4_o14_o14_acs_sym.63,5.0478,5.0476723
str_m4_o4_o15_acs_sym.119,4.96673,5.1412435
str_m4_o1_o22_acs_sym.46,5.29016,5.1460443
str_m4_o5_o24_acs_sym.163,5.0185,5.0882335
str_m4_o1_o24_acs_sym.5,4.57346,5.072097
str_m5_o10_o28_sra_sym.143,5.64663,5.3373456
str_m3_o40_o41_fof_sym.191,8.18848,7.718901
str_m5_o1_o18_sra_sym.25,4.5068,4.544374
str_m2_o18_o22_pcu_sym.252,6.31379,6.03708
