ids,target,prediction
str_m3_o14_o16_pcu_sym.181,5.92936,5.9420853
str_m3_o14_o17_pcu_sym.214,5.43804,5.4011326
str_m2_o4_o18_pcu_sym.210,6.84593,6.78341
str_m4_o7_o7_acs_sym.90,6.53711,6.536725
str_m2_o17_o24_pcu_sym.220,6.35243,6.23442
str_m2_o12_o15_pcu_sym.141,6.15596,5.3938837
str_m2_o13_o22_pcu_sym.180,6.60136,5.757229
str_m3_o13_o16_pcu_sym.54,5.58087,5.5489993
str_m3_o10_o28_pcu_sym.5,4.88466,4.845318
str_m3_o1_o17_pcu_sym.12,4.97705,5.529281
str_m5_o6_o17_sra_sym.55,8.25526,7.950446
str_m3_o10_o17_pcu_sym.206,4.60821,4.447476
str_m4_o17_o17_acs_sym.147,7.68868,7.586095
str_m2_o16_o16_pcu_sym.62,5.11593,5.413054
str_m2_o10_o29_pcu_sym.110,5.1363,4.97586
str_m4_o17_o17_acs_sym.72,8.02989,7.2419434
str_m2_o18_o24_pcu_sym.24,6.99939,6.004464
str_m4_o4_o22_acs_sym.180,4.6354,4.6905622
str_m5_o7_o18_sra_sym.37,8.71539,8.4435835
str_m7_o9_o24_bcu_sym.19,6.8549,7.099614
str_m2_o9_o16_pcu_sym.80,6.49448,6.4571414
str_m5_o11_o16_sra_sym.128,4.87027,4.525679
str_m2_o22_o22_pcu_sym.168,4.91859,5.962015
str_m3_o10_o28_pcu_sym.23,4.56286,4.998542
str_m4_o1_o15_acs_sym.171,5.76075,5.6547236
str_m2_o10_o17_pcu_sym.81,4.13171,4.001371
str_m5_o18_o29_sra_sym.25,4.29666,4.7589917
str_m2_o16_o16_pcu_sym.143,5.42609,5.8154173
str_m2_o9_o16_pcu_sym.123,6.66901,6.4779744
str_m2_o1_o4_pcu_sym.53,4.6123,4.49853
str_m5_o1_o16_sra_sym.106,3.89912,3.9253407
str_m3_o4_o16_pcu_sym.56,6.85744,7.150152
str_m3_o4_o22_pcu_sym.218,5.60675,5.2714953
str_m3_o14_o14_pcu_sym.180,5.16491,5.051409
str_m2_o9_o16_pcu_sym.138,4.78378,4.843715
str_m3_o1_o29_pcu_sym.24,6.58279,6.55054
str_m3_o10_o29_pcu_sym.237,4.92001,4.763227
str_m2_o14_o14_pcu_sym.116,6.26364,6.2776184
str_m4_o5_o14_acs_sym.170,4.72718,4.564678
str_m2_o10_o28_pcu_sym.236,4.78812,4.7948337
str_m5_o13_o2_sra_sym.42,4.57289,4.650668
str_m5_o18_o19_sra_sym.6,5.04921,4.378351
str_m2_o10_o18_pcu_sym.72,4.66187,4.7860994
str_m4_o1_o4_acs_sym.13,5.49396,5.287201
str_m3_o1_o17_pcu_sym.124,6.36295,6.28065
