ids,target,prediction
str_m5_o18_o19_sra_sym.66,3.90693,4.0379834
str_m7_o9_o24_bcu_sym.84,5.98154,6.85888
str_m2_o16_o22_pcu_sym.51,5.77643,5.3416314
str_m2_o14_o24_pcu_sym.186,4.40898,5.0726466
str_m7_o9_o10_bcu_sym.183,5.43451,6.3628335
str_m5_o2_o17_sra_sym.88,5.78866,5.3088326
str_m3_o10_o17_pcu_sym.79,4.09529,4.5874014
str_m5_o4_o16_sra_sym.157,4.00379,4.008786
str_m3_o4_o14_pcu_sym.195,4.95209,5.0502057
str_m2_o4_o16_pcu_sym.127,7.50192,7.136891
str_m2_o10_o13_pcu_sym.176,5.68372,4.971706
str_m2_o13_o24_pcu_sym.19,5.89509,5.477533
str_m5_o16_o18_sra_sym.1,4.04408,4.2240252
str_m4_o5_o14_acs_sym.54,4.66081,4.8599625
str_m3_o4_o13_pcu_sym.55,5.98125,5.463695
str_m4_o1_o11_acs_sym.14,5.19575,5.344277
str_m5_o4_o4_sra_sym.249,5.13848,4.9645076
str_m3_o5_o29_pcu_sym.54,5.16882,5.0902753
str_m4_o4_o14_acs_sym.148,5.28367,5.3818436
str_m7_o9_o13_bcu_sym.59,8.45067,7.739741
str_m7_o9_o10_bcu_sym.158,7.19506,6.6769185
str_m4_o14_o24_acs_sym.107,5.06955,4.991855
str_m2_o9_o21_pcu_sym.130,5.80016,5.616689
str_m2_o1_o22_pcu_sym.145,4.5979,5.157477
str_m3_o14_o16_pcu_sym.211,5.5945,5.6841226
str_m2_o18_o22_pcu_sym.223,5.88381,5.898867
str_m3_o10_o29_pcu_sym.46,5.36295,5.4583063
str_m2_o12_o29_pcu_sym.28,6.28303,6.336636
str_m5_o11_o16_sra_sym.164,4.12148,4.161169
str_m5_o10_o28_sra_sym.275,5.67663,5.239016
str_m3_o14_o24_pcu_sym.237,4.49816,4.899302
str_m5_o13_o23_sra_sym.37,4.52035,4.6646156
str_m2_o10_o13_pcu_sym.43,5.16548,4.827988
str_m5_o11_o18_sra_sym.7,4.83673,4.3028646
str_m5_o11_o16_sra_sym.87,4.29262,4.241779
str_m3_o13_o23_pcu_sym.159,5.79475,5.80826
str_m2_o5_o8_pcu_sym.45,5.71327,5.074756
str_m3_o12_o15_pcu_sym.69,5.64174,5.2511353
str_m2_o10_o26_pcu_sym.142,4.76002,4.557404
str_m2_o14_o17_pcu_sym.25,6.2845,6.237618
str_m5_o11_o16_sra_sym.5,4.96255,4.565718
str_m4_o19_o24_acs_sym.42,5.17796,5.332484
str_m2_o10_o27_pcu_sym.214,4.3477,4.5174384
str_m7_o4_o10_bcu_sym.69,5.96475,7.055397
str_m2_o18_o24_pcu_sym.166,5.27748,5.739598
str_m5_o11_o18_sra_sym.28,4.58558,4.526838
str_m3_o40_o40_fof_sym.83,7.51213,8.376307
str_m5_o18_o24_sra_sym.94,3.87024,4.0117455
str_m3_o14_o24_pcu_sym.245,4.78572,5.1768126
str_m5_o16_o23_sra_sym.51,4.47427,5.7757926
