ids,target,prediction
str_m4_o1_o14_acs_sym.6,4.49927,4.55825
str_m5_o13_o2_sra_sym.74,4.12018,4.1685414
str_m3_o10_o29_pcu_sym.224,5.59318,5.1814475
str_m5_o4_o2_sra_sym.102,5.61351,5.1324525
str_m3_o10_o13_pcu_sym.144,4.12872,4.0579877
str_m7_o4_o24_bcu_sym.225,6.17412,6.113689
str_m5_o2_o25_sra_sym.9,4.90475,4.8033633
str_m5_o16_o17_sra_sym.48,5.8347,5.7108784
str_m5_o6_o16_sra_sym.8,4.89438,5.246762
str_m2_o10_o26_pcu_sym.86,4.3322,4.4226174
str_m2_o4_o10_pcu_sym.190,4.59552,4.7510333
str_m2_o22_o24_pcu_sym.28,6.25911,5.6666265
str_m3_o5_o7_pcu_sym.25,5.64265,5.6202826
str_m7_o4_o22_bcu_sym.35,7.27121,7.139535
str_m4_o1_o15_acs_sym.178,5.6974,5.6665616
str_m5_o11_o16_sra_sym.210,4.96015,4.5978227
str_m7_o9_o12_bcu_sym.126,6.91443,6.9370055
str_m5_o2_o20_sra_sym.66,4.29929,4.9505687
str_m5_o1_o16_sra_sym.90,4.20186,4.154785
str_m4_o1_o5_acs_sym.118,5.18421,4.9228735
str_m5_o16_o23_sra_sym.17,5.82581,5.068087
str_m2_o16_o18_pcu_sym.121,6.56581,6.7820506
str_m7_o1_o22_bcu_sym.31,5.44427,6.308628
str_m3_o10_o15_pcu_sym.115,3.81165,3.7921038
str_m2_o4_o14_pcu_sym.205,5.29071,5.7676387
str_m4_o4_o5_acs_sym.212,4.81116,4.601911
str_m4_o4_o15_acs_sym.16,5.19782,4.9024897
str_m2_o4_o14_pcu_sym.128,5.87979,5.9617543
str_m2_o10_o29_pcu_sym.192,4.85067,4.863807
str_m5_o18_o28_sra_sym.63,8.31814,8.077898
str_m7_o9_o22_bcu_sym.38,7.16527,7.061903
str_m2_o10_o16_pcu_sym.146,4.95202,5.041468
str_m5_o13_o16_sra_sym.101,5.5014,5.388989
str_m2_o18_o22_pcu_sym.117,5.40523,5.9204826
str_m2_o16_o16_pcu_sym.103,5.48002,6.163533
str_m3_o4_o19_pcu_sym.31,4.96922,5.1520033
str_m2_o2_o5_pcu_sym.116,7.04613,5.4348807
str_m2_o1_o13_pcu_sym.13,6.20688,6.6549277
str_m5_o1_o16_sra_sym.103,4.54821,4.4718814
str_m5_o16_o16_sra_sym.43,4.16388,4.0918093
str_m4_o14_o22_acs_sym.50,4.58893,4.5690484
str_m3_o10_o11_pcu_sym.25,4.52988,4.593597
