ids,target,prediction
str_m3_o5_o17_pcu_sym.29,0.405819,0.41746968
str_m3_o1_o14_pcu_sym.117,2.435954,2.7567947
str_m3_o40_o41_fof_sym.21,2.610424,2.7913225
str_m2_o14_o23_pcu_sym.69,0.398283,0.5506751
str_m2_o10_o29_pcu_sym.227,0.749551,1.192147
str_m3_o14_o14_pcu_sym.27,2.620686,2.7221115
str_m7_o9_o11_bcu_sym.51,2.548944,2.7408693
str_m5_o7_o18_sra_sym.44,0.6154,0.6541211
str_m2_o10_o29_pcu_sym.233,3.269363,3.084934
str_m5_o4_o2_sra_sym.147,2.442937,2.742667
str_m2_o4_o22_pcu_sym.250,0.458607,0.46454686
str_m3_o38_o41_fof_sym.197,0.670657,0.64180726
str_m5_o2_o25_sra_sym.62,0.305012,0.5550582
str_m2_o14_o16_pcu_sym.139,0.609987,0.56246823
str_m5_o2_o17_sra_sym.146,0.606557,0.614001
str_m2_o9_o14_pcu_sym.95,2.40882,2.628516
str_m3_o5_o17_pcu_sym.48,0.324683,0.32549924
str_m5_o16_o16_sra_sym.57,0.346107,0.47689122
str_m5_o1_o16_sra_sym.45,3.292915,2.9232528
str_m5_o18_o24_sra_sym.68,0.510057,0.42298192
str_m2_o14_o14_pcu_sym.60,0.644035,0.61116475
str_m2_o10_o16_pcu_sym.34,0.629573,0.45400208
str_m5_o10_o28_sra_sym.167,0.747559,0.60527104
str_m2_o14_o17_pcu_sym.125,0.460339,0.26926774
str_m7_o9_o24_bcu_sym.70,0.536996,0.64777726
str_m4_o22_o24_acs_sym.58,0.468383,0.30136746
str_m5_o16_o24_sra_sym.22,0.420351,0.49102563
str_m5_o2_o23_sra_sym.111,0.412242,0.45689267
str_m5_o13_o18_sra_sym.8,3.989147,3.1522367
str_m2_o10_o29_pcu_sym.73,1.008992,1.19606
str_m2_o10_o27_pcu_sym.214,3.606018,2.6160066
str_m3_o10_o17_pcu_sym.93,3.670143,2.8278177
str_m3_o14_o24_pcu_sym.210,2.493496,2.7100198
str_m4_o22_o24_acs_sym.13,0.40913,0.46189374
str_m5_o1_o16_sra_sym.7,0.826641,0.6853377
str_m5_o13_o2_sra_sym.42,0.691472,0.6235835
str_m7_o4_o9_bcu_sym.81,2.791493,2.6665962
str_m3_o5_o17_pcu_sym.24,3.15772,3.046541
str_m5_o1_o18_sra_sym.80,2.475218,2.901883
str_m2_o5_o29_pcu_sym.21,2.744482,2.7538936
str_m3_o41_o41_fof_sym.50,4.159866,3.0298278
str_m5_o13_o13_sra_sym.70,0.510363,0.54199284
