ids,target,prediction
str_m2_o5_o29_pcu_sym.68,0.900924,0.8322557
str_m3_o10_o29_pcu_sym.221,0.706723,0.61462724
str_m2_o10_o28_pcu_sym.122,0.314162,0.21205941
str_m2_o9_o18_pcu_sym.89,0.637083,0.54838216
str_m5_o2_o23_sra_sym.81,0.37281,0.36317483
str_m3_o10_o15_pcu_sym.1,3.415816,2.7704062
str_m5_o16_o19_sra_sym.115,0.509447,0.6150907
str_m7_o22_o24_bcu_sym.20,0.567642,0.5508808
str_m5_o18_o23_sra_sym.9,2.326772,2.7647376
str_m3_o41_o41_fof_sym.19,2.892606,2.9032989
str_m3_o10_o29_pcu_sym.174,0.758495,0.8098453
str_m3_o41_o41_fof_sym.30,0.556342,0.7570604
str_m5_o2_o16_sra_sym.82,1.240829,0.92952955
str_m3_o10_o28_pcu_sym.90,0.250139,0.23468247
str_m3_o10_o18_pcu_sym.126,2.563762,2.64109
str_m2_o5_o28_pcu_sym.59,0.706586,0.62562406
str_m4_o22_o24_acs_sym.50,0.619868,0.9453615
str_m5_o1_o18_sra_sym.27,0.803468,0.7557634
str_m3_o10_o17_pcu_sym.18,0.255334,0.29505196
str_m3_o10_o28_pcu_sym.184,2.847237,2.7502227
str_m2_o4_o16_pcu_sym.148,0.336727,0.44557038
str_m4_o22_o24_acs_sym.53,3.082139,3.0347638
str_m5_o2_o17_sra_sym.51,0.582873,0.5679792
str_m3_o10_o16_pcu_sym.3,2.516965,2.6221747
str_m3_o14_o18_pcu_sym.55,0.642383,0.5746826
str_m5_o11_o18_sra_sym.3,3.742771,3.012443
str_m5_o7_o17_sra_sym.18,0.914885,0.91083467
str_m3_o40_o41_fof_sym.29,2.487733,2.8012748
str_m5_o11_o16_sra_sym.158,0.59782,0.8308338
str_m2_o14_o16_pcu_sym.18,0.189715,0.27927247
str_m3_o1_o16_pcu_sym.61,0.606844,0.59929883
str_m5_o18_o19_sra_sym.100,0.839282,0.72076356
str_m5_o1_o16_sra_sym.26,2.587486,2.834724
str_m5_o4_o16_sra_sym.101,4.160436,3.021668
str_m5_o10_o29_sra_sym.22,0.820306,0.75826204
str_m7_o9_o22_bcu_sym.36,0.32068,0.26754132
str_m3_o14_o16_pcu_sym.242,0.297296,0.27188912
str_m2_o16_o18_pcu_sym.165,3.269383,2.6973834
str_m5_o13_o18_sra_sym.62,0.919832,0.8602375
str_m3_o10_o16_pcu_sym.32,0.682147,0.553779
str_m2_o10_o29_pcu_sym.138,0.78052,0.7452196
str_m5_o16_o19_sra_sym.115,1.058945,0.93831575
str_m5_o2_o17_sra_sym.39,0.372899,0.67472684
str_m2_o14_o14_pcu_sym.56,0.764018,0.6976675
str_m5_o13_o18_sra_sym.35,1.024858,1.0616735
str_m3_o10_o15_pcu_sym.67,3.455541,2.8842626
str_m3_o10_o17_pcu_sym.155,2.448034,2.503429
str_m7_o9_o11_bcu_sym.17,0.509633,0.54201925
str_m2_o4_o14_pcu_sym.3,2.612891,2.6424985
str_m3_o41_o41_fof_sym.50,4.159866,3.0689263
str_m2_o5_o29_pcu_sym.66,0.409324,0.47922555
str_m5_o16_o16_sra_sym.74,3.619409,3.0675826
str_m3_o5_o29_pcu_sym.51,0.685089,0.66709936
str_m2_o10_o28_pcu_sym.13,2.803317,2.7877555
str_m5_o16_o24_sra_sym.44,3.007008,2.9696584
str_m7_o9_o10_bcu_sym.175,0.21495,0.1802105
str_m5_o18_o23_sra_sym.36,2.449392,2.6380382
str_m5_o16_o19_sra_sym.63,0.743467,0.69923913
str_m2_o41_o41_fof_sym.58,0.614239,0.5312313
str_m5_o16_o19_sra_sym.21,1.074414,0.8793014
str_m5_o4_o2_sra_sym.78,0.604467,0.7614111
str_m2_o4_o9_pcu_sym.84,0.321903,0.31832162
str_m3_o10_o29_pcu_sym.6,0.513072,0.6502403
str_m2_o10_o29_pcu_sym.138,1.412087,1.0684446
str_m5_o16_o24_sra_sym.196,0.45687,0.5067133
str_m2_o10_o14_pcu_sym.11,0.396634,0.62071073
str_m5_o13_o16_sra_sym.11,2.726928,2.884852
str_m5_o11_o18_sra_sym.195,2.435272,2.760655
str_m2_o12_o18_pcu_sym.69,2.532004,2.5734668
str_m5_o2_o18_sra_sym.25,1.351525,0.76969373
str_m7_o9_o22_bcu_sym.68,0.34911,0.257481
str_m2_o1_o13_pcu_sym.158,0.283531,0.32466164
str_m3_o10_o29_pcu_sym.90,0.753316,0.6245378
str_m5_o4_o2_sra_sym.92,2.262285,2.9095721
str_m5_o16_o17_sra_sym.78,3.003219,2.8502326
str_m3_o5_o29_pcu_sym.47,0.332069,0.31873646
str_m5_o10_o29_sra_sym.45,1.331326,1.0931133
str_m2_o12_o17_pcu_sym.113,2.429962,2.62787
str_m2_o10_o28_pcu_sym.228,2.334441,2.656158
str_m3_o5_o28_pcu_sym.88,2.462783,2.5842156
str_m3_o40_o41_fof_sym.20,0.537046,0.47425976
str_m5_o18_o22_sra_sym.42,3.907912,3.1945195
str_m2_o9_o20_pcu_sym.147,0.557284,0.52136075
str_m2_o14_o16_pcu_sym.139,0.609987,0.47258607
str_m3_o10_o28_pcu_sym.77,0.719121,0.5287918
str_m5_o10_o29_sra_sym.207,0.930447,0.76460874
str_m5_o16_o16_sra_sym.10,4.568963,3.0157628
str_m2_o14_o22_pcu_sym.121,0.368651,0.32700005
str_m5_o25_o25_sra_sym.42,0.415033,0.5741581
str_m4_o22_o24_acs_sym.21,0.36484,0.5431541
str_m2_o18_o24_pcu_sym.135,2.486861,2.5680633
str_m7_o22_o22_bcu_sym.129,0.560551,0.54456556
str_m5_o11_o16_sra_sym.30,0.504295,0.5163158
str_m2_o10_o28_pcu_sym.110,0.359656,0.334083
str_m5_o18_o22_sra_sym.132,0.742393,0.80966604
str_m3_o10_o16_pcu_sym.81,0.777191,0.61632764
str_m5_o1_o16_sra_sym.4,0.592562,0.67631567
str_m2_o9_o18_pcu_sym.131,2.253258,2.572784
str_m5_o11_o18_sra_sym.8,0.891715,0.70717084
str_m4_o22_o24_acs_sym.1,0.565221,0.71418417
str_m2_o10_o28_pcu_sym.98,0.409785,0.65243566
str_m5_o18_o19_sra_sym.78,0.446649,0.65858495
str_m3_o40_o40_fof_sym.49,0.530896,0.59883153
str_m4_o14_o24_acs_sym.84,2.681807,2.9429832
str_m3_o22_o22_pcu_sym.189,0.192343,0.31687585
str_m5_o2_o25_sra_sym.77,1.176669,0.96789396
str_m3_o10_o28_pcu_sym.106,0.398784,0.33053437
str_m4_o22_o22_acs_sym.87,0.525898,0.6909126
str_m5_o13_o18_sra_sym.3,2.368591,2.8443646
str_m3_o10_o17_pcu_sym.36,0.611011,0.451569
str_m5_o16_o24_sra_sym.59,0.730863,0.84942186
str_m2_o9_o18_pcu_sym.76,2.614037,2.6656795
str_m5_o1_o16_sra_sym.96,1.017653,0.96264684
str_m2_o10_o28_pcu_sym.15,0.457234,0.43674222
str_m5_o2_o23_sra_sym.25,0.77314,0.6788801
str_m7_o1_o12_bcu_sym.10,0.33166,0.27168217
str_m5_o7_o16_sra_sym.71,2.465613,2.8550944
str_m5_o4_o18_sra_sym.70,0.898298,0.9691595
str_m3_o10_o29_pcu_sym.91,0.920119,0.7790836
str_m5_o4_o16_sra_sym.71,0.568723,0.9440645
str_m2_o10_o17_pcu_sym.185,2.492085,2.9658008
str_m7_o4_o4_bcu_sym.14,0.260328,0.16665116
str_m2_o9_o18_pcu_sym.169,2.615068,2.7437491
str_m5_o11_o16_sra_sym.57,2.4937,2.745008
str_m3_o5_o17_pcu_sym.28,2.923214,2.9102578
str_m7_o9_o22_bcu_sym.121,0.537497,0.5732893
str_m3_o14_o16_pcu_sym.97,0.486408,0.5408319
str_m4_o22_o24_acs_sym.132,0.78592,0.9971136
str_m5_o18_o22_sra_sym.86,0.85233,0.74423635
str_m3_o40_o41_fof_sym.40,2.786096,2.8015933
str_m3_o14_o18_pcu_sym.134,0.196547,0.27607098
str_m4_o22_o22_acs_sym.13,0.417136,0.5236896
str_m5_o16_o19_sra_sym.59,0.856268,0.72468317
str_m2_o5_o29_pcu_sym.58,0.319939,0.52139986
str_m5_o4_o16_sra_sym.19,3.742579,3.045919
str_m5_o16_o16_sra_sym.55,1.426789,0.95185316
str_m2_o10_o28_pcu_sym.251,2.611378,2.811788
