ids,target,prediction
str_m3_o10_o29_pcu_sym.213,0.616443,0.5285012
str_m4_o7_o7_acs_sym.187,0.855024,0.79067963
str_m3_o14_o24_pcu_sym.116,0.691811,0.63294
str_m5_o18_o29_sra_sym.60,2.515614,2.7039459
str_m3_o4_o18_pcu_sym.85,2.399122,2.609183
str_m5_o18_o19_sra_sym.35,0.379649,0.33631772
str_m5_o18_o23_sra_sym.83,0.274992,0.24722262
str_m5_o2_o2_sra_sym.103,0.670995,0.52807015
str_m2_o10_o29_pcu_sym.27,0.672955,0.99671334
str_m5_o2_o18_sra_sym.17,0.911193,1.2226369
str_m5_o4_o18_sra_sym.59,1.05358,1.150089
str_m7_o9_o22_bcu_sym.16,0.337058,0.34930676
str_m2_o1_o1_pcu_sym.28,0.394729,0.33632725
str_m3_o10_o15_pcu_sym.120,3.218466,3.113774
str_m5_o11_o18_sra_sym.119,0.547674,0.6093556
str_m5_o11_o16_sra_sym.168,0.589349,0.38006657
str_m2_o10_o28_pcu_sym.19,0.42411,0.51209515
str_m5_o7_o18_sra_sym.59,2.57044,2.5067775
str_m4_o22_o22_acs_sym.53,0.819194,0.7896058
str_m7_o9_o11_bcu_sym.79,0.521794,0.592056
str_m3_o10_o15_pcu_sym.45,0.621944,0.6689488
str_m2_o41_o41_fof_sym.95,2.674828,2.753682
str_m5_o11_o18_sra_sym.76,3.488146,2.8789432
str_m5_o11_o16_sra_sym.114,0.633761,0.69161576
str_m2_o10_o14_pcu_sym.161,0.215199,0.23288031
str_m5_o11_o18_sra_sym.138,2.566442,2.678559
str_m7_o4_o12_bcu_sym.159,2.313032,2.479633
str_m3_o10_o28_pcu_sym.64,2.776253,2.6489894
str_m3_o10_o29_pcu_sym.27,0.655689,0.54728955
str_m5_o2_o17_sra_sym.58,2.996119,2.6666172
str_m7_o1_o1_bcu_sym.13,3.368564,2.540733
str_m3_o10_o18_pcu_sym.119,2.878859,2.834132
str_m3_o10_o28_pcu_sym.27,0.318351,0.22913237
str_m5_o11_o16_sra_sym.53,0.541304,0.5132758
str_m3_o10_o29_pcu_sym.202,0.681205,0.6730115
str_m3_o10_o29_pcu_sym.70,0.463221,0.47582787
str_m2_o12_o15_pcu_sym.141,0.61738,0.58893555
str_m5_o4_o18_sra_sym.52,0.701283,0.7184903
str_m5_o10_o28_sra_sym.7,0.244411,0.08460303
str_m5_o4_o18_sra_sym.95,3.444195,3.0320776
str_m3_o5_o26_pcu_sym.40,2.516521,2.5291812
str_m5_o4_o18_sra_sym.18,0.920002,1.0304515
str_m2_o9_o18_pcu_sym.107,2.716776,2.6783454
str_m5_o18_o22_sra_sym.60,0.660783,0.7625796
str_m2_o9_o18_pcu_sym.116,0.158541,0.2713992
str_m5_o13_o2_sra_sym.81,2.789551,2.668825
str_m3_o10_o29_pcu_sym.211,3.403321,2.909167
str_m2_o4_o14_pcu_sym.123,0.355476,0.2865321
str_m2_o1_o29_pcu_sym.238,0.228487,0.36445683
str_m5_o17_o22_sra_sym.43,3.202047,2.8174083
str_m2_o14_o16_pcu_sym.86,0.571015,0.60440034
str_m2_o14_o24_pcu_sym.120,0.605623,0.74266595
str_m4_o22_o24_acs_sym.57,0.563583,0.61996526
str_m2_o14_o18_pcu_sym.179,0.66847,0.5610768
str_m2_o40_o41_fof_sym.48,0.846596,0.6649291
str_m5_o1_o2_sra_sym.57,2.812622,2.7252223
str_m5_o1_o18_sra_sym.155,0.806546,0.8090932
str_m5_o18_o24_sra_sym.19,3.246218,2.855972
str_m7_o4_o9_bcu_sym.39,0.226474,0.26414174
str_m3_o38_o41_fof_sym.54,0.787352,0.6280686
str_m5_o4_o16_sra_sym.37,0.412307,0.47221917
str_m3_o10_o29_pcu_sym.176,1.15823,0.9160897
str_m3_o4_o14_pcu_sym.143,2.710363,2.710759
str_m2_o16_o22_pcu_sym.20,0.300826,0.22677298
str_m3_o1_o22_pcu_sym.127,0.548544,0.63894624
str_m2_o12_o18_pcu_sym.176,0.438288,0.51235074
str_m5_o11_o16_sra_sym.78,0.323028,0.47028416
str_m5_o10_o28_sra_sym.152,0.806745,0.6225411
str_m5_o2_o18_sra_sym.61,2.664054,2.9498756
str_m5_o4_o2_sra_sym.91,0.537759,0.41733903
str_m2_o5_o28_pcu_sym.78,0.257284,0.21666022
str_m5_o18_o22_sra_sym.49,3.083369,3.1288097
str_m5_o4_o18_sra_sym.42,3.908969,3.1412065
str_m5_o18_o22_sra_sym.185,0.74828,0.70493764
str_m5_o10_o29_sra_sym.24,4.106975,3.230829
str_m3_o5_o9_pcu_sym.19,0.647888,0.6385419
str_m7_o9_o11_bcu_sym.134,0.379509,0.30753773
str_m5_o16_o23_sra_sym.21,0.728542,0.58682793
str_m2_o41_o41_fof_sym.82,3.36302,2.8244846
str_m5_o10_o29_sra_sym.151,4.059146,3.10933
str_m7_o9_o11_bcu_sym.28,2.50562,2.6507022
str_m2_o14_o16_pcu_sym.163,0.45778,0.29093045
str_m2_o4_o14_pcu_sym.220,0.348696,0.30677003
str_m5_o16_o25_sra_sym.55,0.618905,0.47673196
str_m2_o4_o17_pcu_sym.68,3.388971,2.6004407
str_m5_o18_o24_sra_sym.63,0.778779,0.55765694
str_m5_o18_o24_sra_sym.24,3.713355,3.219857
str_m3_o1_o18_pcu_sym.235,0.27622,0.22596426
str_m5_o10_o29_sra_sym.17,0.824585,0.8361985
str_m5_o4_o16_sra_sym.97,0.934322,0.95128316
str_m5_o1_o16_sra_sym.57,0.51453,0.540899
str_m5_o10_o28_sra_sym.48,0.493883,0.22834368
str_m3_o10_o14_pcu_sym.101,0.362177,0.22510786
str_m5_o5_o16_sra_sym.63,0.561411,0.574454
str_m7_o9_o10_bcu_sym.6,2.515021,2.649389
str_m5_o10_o29_sra_sym.45,4.213643,3.4060638
str_m5_o1_o2_sra_sym.49,2.661327,2.5801246
str_m3_o4_o9_pcu_sym.66,2.339874,2.649145
str_m2_o1_o12_pcu_sym.22,0.446243,0.58513707
str_m3_o1_o16_pcu_sym.216,0.198365,0.27445382
str_m4_o15_o24_acs_sym.123,2.874257,2.833451
str_m3_o10_o18_pcu_sym.86,2.490199,2.8379076
str_m2_o5_o8_pcu_sym.146,0.470243,0.48094147
str_m2_o1_o5_pcu_sym.73,0.494001,0.6138703
str_m5_o4_o16_sra_sym.49,0.220812,0.39987344
str_m3_o14_o22_pcu_sym.241,0.381776,0.29442948
str_m5_o10_o29_sra_sym.157,0.655969,0.61762303
str_m3_o10_o29_pcu_sym.144,0.415181,0.4665057
str_m2_o10_o18_pcu_sym.169,0.566462,0.67162865
str_m5_o10_o29_sra_sym.76,4.526223,3.3031013
str_m2_o14_o18_pcu_sym.17,0.651396,0.5890996
str_m3_o10_o15_pcu_sym.73,2.691044,3.1678112
str_m2_o16_o16_pcu_sym.87,0.592277,0.51360005
str_m2_o5_o29_pcu_sym.102,3.153818,2.7396076
str_m5_o11_o16_sra_sym.21,2.511934,2.7261732
str_m3_o14_o18_pcu_sym.205,0.634772,0.63683766
str_m2_o10_o16_pcu_sym.150,0.322796,0.313605
str_m3_o14_o24_pcu_sym.33,0.181233,0.19195433
str_m4_o22_o24_acs_sym.51,3.311097,2.986222
str_m2_o4_o17_pcu_sym.57,0.524437,0.53224915
str_m3_o10_o29_pcu_sym.5,0.654161,0.61769074
str_m5_o2_o19_sra_sym.81,0.429435,0.4406497
str_m5_o11_o16_sra_sym.36,0.643581,0.61122674
str_m3_o5_o29_pcu_sym.99,0.338999,0.42698544
str_m7_o9_o11_bcu_sym.154,0.656639,0.64751405
str_m3_o14_o29_pcu_sym.146,2.524669,2.5357616
str_m5_o18_o22_sra_sym.48,3.385042,3.353625
str_m5_o13_o13_sra_sym.24,2.748751,2.6749704
str_m4_o22_o24_acs_sym.56,0.504446,0.5394713
