ids,target,prediction
str_m2_o10_o17_pcu_sym.185,2.492085,2.8381345
str_m3_o10_o16_pcu_sym.76,3.145447,2.7766836
str_m2_o10_o16_pcu_sym.25,2.590412,2.652571
str_m2_o10_o29_pcu_sym.4,1.080222,0.9819095
str_m3_o10_o28_pcu_sym.131,0.3308,0.42525554
str_m5_o1_o18_sra_sym.20,1.444485,1.1606495
str_m3_o14_o14_pcu_sym.218,2.513395,2.6936781
str_m7_o9_o10_bcu_sym.94,0.234386,0.23899005
str_m5_o11_o18_sra_sym.160,3.429392,3.0604436
str_m3_o4_o22_pcu_sym.137,0.243846,0.22080158
str_m5_o16_o16_sra_sym.77,0.840043,0.7319801
str_m3_o40_o41_fof_sym.113,2.578804,2.7579596
str_m2_o13_o15_pcu_sym.31,0.291993,0.18355916
str_m5_o18_o22_sra_sym.19,3.345856,3.2291734
str_m2_o10_o29_pcu_sym.205,3.933134,3.3092391
str_m7_o9_o22_bcu_sym.21,0.292089,0.25858998
str_m5_o18_o23_sra_sym.83,0.274992,0.2402284
str_m3_o10_o29_pcu_sym.201,0.320395,0.269058
str_m5_o11_o16_sra_sym.82,0.706285,0.8476198
str_m5_o11_o18_sra_sym.102,0.665263,0.7146828
str_m5_o2_o19_sra_sym.28,0.825372,0.68422246
str_m5_o13_o2_sra_sym.60,0.700182,0.71338964
str_m2_o9_o18_pcu_sym.46,0.580365,0.52920985
str_m5_o18_o28_sra_sym.91,3.028516,2.7174246
str_m2_o14_o14_pcu_sym.51,0.266195,0.33857417
str_m5_o2_o19_sra_sym.17,0.669997,0.7750299
str_m2_o18_o24_pcu_sym.138,2.631595,2.642204
str_m2_o40_o41_fof_sym.63,3.102112,2.9150298
str_m3_o5_o26_pcu_sym.157,0.153846,0.18983386
str_m3_o10_o29_pcu_sym.24,1.10685,0.7834432
str_m5_o2_o20_sra_sym.73,2.696036,2.717388
str_m5_o13_o16_sra_sym.51,0.335423,0.30440068
str_m5_o2_o19_sra_sym.72,0.520323,0.5633471
str_m3_o10_o29_pcu_sym.109,0.415292,0.4069469
str_m2_o10_o18_pcu_sym.25,0.428946,0.6896579
str_m3_o40_o40_fof_sym.73,4.243675,2.8445432
str_m2_o9_o20_pcu_sym.188,2.365787,2.6197174
str_m5_o11_o16_sra_sym.213,0.711082,0.7069442
str_m2_o41_o41_fof_sym.48,2.556721,2.699361
str_m5_o18_o28_sra_sym.3,0.491125,0.42872643
str_m5_o4_o18_sra_sym.7,1.482825,1.1772921
str_m5_o11_o16_sra_sym.78,0.644006,0.7994354
str_m4_o4_o24_acs_sym.15,0.561561,0.61960626
str_m3_o14_o29_pcu_sym.274,0.699554,0.6107962
str_m2_o4_o28_pcu_sym.53,0.322454,0.22223161
str_m5_o13_o18_sra_sym.35,1.024858,1.2293389
