ids,target,prediction
str_m2_o1_o1_pcu_sym.13,0.298463,0.3053543
str_m2_o1_o1_pcu_sym.13,0.774524,0.6376125
str_m2_o1_o1_pcu_sym.13,3.652736,2.6990497
str_m2_o1_o1_pcu_sym.22,0.25567,0.25349683
str_m2_o1_o1_pcu_sym.22,0.517572,0.5857541
str_m2_o1_o1_pcu_sym.22,2.885369,2.647192
str_m2_o1_o1_pcu_sym.28,3.123242,2.6990407
str_m2_o1_o1_pcu_sym.31,0.691922,0.49576443
str_m2_o1_o1_pcu_sym.31,2.79595,2.557202
str_m2_o1_o1_pcu_sym.39,0.325492,0.37933272
str_m2_o1_o1_pcu_sym.39,0.644206,0.71159047
str_m2_o1_o1_pcu_sym.39,2.981022,2.7730284
str_m2_o1_o1_pcu_sym.70,0.265009,0.13868922
str_m2_o1_o1_pcu_sym.70,0.573858,0.47094935
str_m2_o1_o1_pcu_sym.84,0.324282,0.2049591
str_m2_o1_o1_pcu_sym.84,0.578049,0.5372159
str_m2_o1_o10_pcu_sym.114,0.351297,0.24940556
str_m2_o1_o10_pcu_sym.114,0.639664,0.5816633
str_m2_o1_o10_pcu_sym.114,3.296957,2.6431007
str_m2_o1_o10_pcu_sym.119,0.221413,0.17124099
str_m2_o1_o10_pcu_sym.119,0.548287,0.50350016
str_m2_o1_o10_pcu_sym.119,2.276046,2.564938
str_m2_o1_o10_pcu_sym.179,0.250939,0.19832629
str_m2_o1_o10_pcu_sym.179,0.567294,0.53058356
str_m2_o1_o10_pcu_sym.185,0.242929,0.20636243
str_m2_o1_o10_pcu_sym.185,2.523786,2.6000586
str_m2_o1_o10_pcu_sym.197,0.154971,0.24005383
str_m2_o1_o10_pcu_sym.197,2.452782,2.6337497
str_m2_o1_o10_pcu_sym.204,0.54183,0.46727723
str_m2_o1_o10_pcu_sym.204,2.451766,2.5287147
str_m2_o1_o10_pcu_sym.34,0.317681,0.2380411
str_m2_o1_o10_pcu_sym.34,0.621894,0.5702979
str_m2_o1_o10_pcu_sym.34,2.522094,2.6317358
str_m2_o1_o10_pcu_sym.59,0.200979,0.2373392
str_m2_o1_o10_pcu_sym.59,0.49187,0.56959695
str_m2_o1_o10_pcu_sym.59,2.366155,2.6310341
str_m2_o1_o10_pcu_sym.62,0.869667,0.24046296
str_m2_o1_o10_pcu_sym.62,1.012122,0.5727207
str_m2_o1_o10_pcu_sym.62,3.137057,2.634159
str_m2_o1_o11_pcu_sym.182,0.257493,0.15873212
str_m2_o1_o11_pcu_sym.182,0.634535,0.49099034
str_m2_o1_o11_pcu_sym.69,0.201512,0.2012474
