ids,target,prediction
str_m3_o10_o29_pcu_sym.189,64.43479,47.261894
str_m2_o5_o8_pcu_sym.175,22.071457,22.770807
str_m2_o18_o24_pcu_sym.68,29.956062,29.917753
str_m2_o18_o24_pcu_sym.154,35.89815,33.283813
str_m2_o5_o17_pcu_sym.34,29.978422,32.427727
str_m3_o4_o18_pcu_sym.65,28.255342,26.731485
str_m5_o13_o16_sra_sym.30,33.273872,36.095474
str_m5_o16_o19_sra_sym.67,53.806793,60.687492
str_m5_o18_o24_sra_sym.53,120.874435,102.50553
str_m5_o10_o29_sra_sym.94,71.416046,61.519188
str_m3_o14_o24_pcu_sym.90,41.957607,29.308483
str_m3_o14_o16_pcu_sym.11,24.25383,26.495537
str_m5_o16_o22_sra_sym.39,122.3461,98.50592
str_m5_o16_o19_sra_sym.48,97.15431,63.919975
str_m2_o14_o14_pcu_sym.33,53.570877,51.535263
str_m5_o16_o19_sra_sym.69,55.430897,55.232224
str_m5_o17_o25_sra_sym.64,51.87051,50.80638
str_m5_o8_o16_sra_sym.14,50.54306,39.73871
str_m5_o18_o18_sra_sym.22,35.831448,42.96308
str_m3_o1_o22_pcu_sym.127,58.238632,66.77587
str_m5_o18_o19_sra_sym.16,31.045448,38.222855
str_m2_o11_o16_pcu_sym.195,33.218185,32.294735
str_m3_o10_o28_pcu_sym.91,57.452583,53.501312
str_m4_o1_o24_acs_sym.31,50.422375,49.378582
str_m5_o1_o16_sra_sym.6,78.16653,73.97873
str_m7_o4_o24_bcu_sym.237,36.083237,38.18018
str_m2_o12_o15_pcu_sym.30,46.542446,51.72567
str_m4_o4_o11_acs_sym.110,82.28195,73.44874
str_m2_o9_o18_pcu_sym.32,85.739944,57.570633
str_m2_o14_o29_pcu_sym.214,32.13025,36.843502
str_m4_o22_o24_acs_sym.55,59.903473,51.408306
str_m2_o14_o16_pcu_sym.120,28.648405,30.206423
str_m5_o11_o16_sra_sym.58,75.83942,76.3845
str_m5_o1_o16_sra_sym.13,89.77472,99.67018
str_m2_o10_o28_pcu_sym.33,46.63292,39.9395
str_m2_o4_o14_pcu_sym.48,52.869724,44.168114
str_m3_o1_o13_pcu_sym.173,115.71072,87.36199
str_m5_o4_o2_sra_sym.67,59.77071,74.64703
str_m3_o1_o18_pcu_sym.57,28.988874,26.873346
str_m3_o10_o15_pcu_sym.127,93.75972,105.349754
str_m2_o5_o29_pcu_sym.83,53.10468,40.51483
str_m3_o14_o29_pcu_sym.257,29.871483,24.88029
str_m3_o16_o24_pcu_sym.173,42.492462,35.793583
str_m5_o7_o18_sra_sym.133,35.1218,37.61267
str_m4_o4_o14_acs_sym.128,74.48311,91.633415
str_m5_o1_o1_sra_sym.10,38.245457,60.07651
str_m3_o14_o16_pcu_sym.30,37.501778,29.641882
str_m2_o40_o40_fof_sym.25,25.695126,26.373156
str_m2_o9_o18_pcu_sym.201,61.487827,66.07011
str_m5_o18_o22_sra_sym.186,76.76629,81.202385
str_m3_o4_o5_pcu_sym.216,27.788519,21.709513
str_m3_o4_o14_pcu_sym.10,31.715576,26.541344
str_m3_o5_o8_pcu_sym.62,46.468,50.885384
str_m5_o1_o18_sra_sym.89,107.34471,102.89856
str_m3_o1_o4_pcu_sym.27,64.21564,67.06288
str_m3_o12_o15_pcu_sym.61,30.692364,29.997614
str_m3_o4_o4_pcu_sym.207,92.214134,73.79989
str_m5_o1_o1_sra_sym.13,29.133308,30.367083
str_m3_o40_o41_fof_sym.21,26.61104,29.347559
str_m5_o2_o19_sra_sym.145,68.49942,74.432976
str_m3_o14_o14_pcu_sym.185,31.034113,38.51156
str_m3_o4_o29_pcu_sym.131,29.747438,27.05595
str_m7_o4_o4_bcu_sym.23,23.674011,27.15938
str_m7_o10_o24_bcu_sym.125,21.328598,25.551418
str_m5_o18_o19_sra_sym.78,59.31858,51.92298
str_m3_o14_o18_pcu_sym.149,28.596975,26.59875
str_m2_o12_o15_pcu_sym.39,44.85589,37.929043
str_m2_o11_o18_pcu_sym.69,31.662716,36.227272
str_m5_o16_o22_sra_sym.63,136.31401,148.22255
str_m2_o10_o16_pcu_sym.132,42.27822,36.58399
str_m2_o10_o11_pcu_sym.170,84.78251,57.892044
str_m3_o10_o28_pcu_sym.224,23.046604,27.099207
