ids,target,prediction
str_m2_o40_o41_fof_sym.38,25.29181,26.493301
str_m4_o4_o15_acs_sym.196,101.237236,107.011
str_m2_o1_o1_pcu_sym.84,43.201256,40.163643
str_m3_o5_o29_pcu_sym.24,21.118383,20.01527
str_m2_o10_o28_pcu_sym.32,76.49658,69.05452
str_m3_o4_o18_pcu_sym.126,40.000603,37.069508
str_m4_o28_o28_acs_sym.38,31.137077,31.890345
str_m2_o16_o24_pcu_sym.97,29.530735,24.295588
str_m5_o5_o16_sra_sym.236,90.822296,96.16261
str_m3_o14_o16_pcu_sym.97,36.93259,28.1771
str_m4_o11_o22_acs_sym.48,69.67962,57.81435
str_m3_o4_o18_pcu_sym.65,28.255342,28.349117
str_m5_o4_o2_sra_sym.82,48.27155,67.014465
str_m5_o16_o16_sra_sym.15,49.501434,57.406918
str_m5_o2_o19_sra_sym.96,136.75127,114.39331
str_m3_o14_o17_pcu_sym.43,51.80048,36.808388
str_m3_o1_o14_pcu_sym.100,18.000284,28.643974
str_m4_o1_o22_acs_sym.196,40.529877,44.96697
str_m4_o4_o24_acs_sym.55,66.03448,79.84076
str_m2_o9_o13_pcu_sym.129,26.808878,33.31986
str_m2_o10_o18_pcu_sym.51,49.563614,61.615788
str_m4_o22_o24_acs_sym.3,71.621475,71.79395
str_m3_o14_o24_pcu_sym.215,30.112831,41.154602
str_m2_o14_o16_pcu_sym.34,45.71531,39.487766
str_m2_o16_o16_pcu_sym.25,34.415386,37.555218
str_m4_o14_o24_acs_sym.22,59.379723,98.88623
str_m7_o1_o24_bcu_sym.5,50.55631,38.79813
str_m3_o14_o14_pcu_sym.222,61.314392,52.085346
str_m4_o5_o14_acs_sym.118,72.3133,78.31244
str_m2_o16_o24_pcu_sym.2,23.402796,25.743963
str_m3_o12_o15_pcu_sym.130,50.64823,34.26781
str_m2_o4_o16_pcu_sym.197,36.253307,36.6248
str_m2_o10_o29_pcu_sym.2,44.445625,42.917686
str_m2_o4_o16_pcu_sym.187,24.09051,26.630367
str_m7_o4_o10_bcu_sym.108,35.179184,28.46802
str_m3_o5_o28_pcu_sym.45,19.693834,25.293531
str_m4_o1_o14_acs_sym.162,70.98428,47.16229
str_m7_o9_o22_bcu_sym.15,47.404957,56.118015
str_m7_o10_o24_bcu_sym.170,50.407127,38.088768
str_m2_o16_o16_pcu_sym.27,37.13918,36.98653
str_m3_o1_o22_pcu_sym.205,58.866302,68.04531
str_m5_o16_o23_sra_sym.74,39.660618,43.402084
str_m3_o14_o24_pcu_sym.219,32.839813,36.970642
str_m2_o5_o28_pcu_sym.97,32.83912,41.76402
str_m5_o18_o23_sra_sym.26,42.707363,41.750896
str_m2_o14_o18_pcu_sym.14,18.682333,25.043442
str_m7_o9_o10_bcu_sym.70,37.874977,38.43464
str_m2_o12_o15_pcu_sym.13,33.45409,33.290356
str_m5_o16_o26_sra_sym.231,39.189053,48.148754
str_m3_o4_o14_pcu_sym.84,25.34784,30.467766
str_m2_o16_o16_pcu_sym.214,53.455814,44.23032
str_m4_o12_o15_acs_sym.88,65.74201,60.14493
str_m2_o1_o18_pcu_sym.95,27.569735,33.052917
str_m5_o11_o2_sra_sym.154,63.71036,59.19884
str_m3_o14_o18_pcu_sym.265,37.079384,34.70645
str_m2_o10_o28_pcu_sym.92,48.25294,53.79793
str_m2_o10_o28_pcu_sym.9,58.113598,73.2986
str_m3_o40_o41_fof_sym.62,25.675005,29.048334
str_m2_o5_o28_pcu_sym.23,38.647697,43.564793
str_m2_o4_o18_pcu_sym.168,27.003683,27.849655
str_m5_o7_o18_sra_sym.122,31.900269,32.953487
str_m2_o1_o28_pcu_sym.72,42.74122,36.663788
str_m2_o1_o17_pcu_sym.201,25.714764,25.86787
str_m3_o10_o21_pcu_sym.92,33.721107,37.579945
str_m2_o4_o18_pcu_sym.82,24.13431,29.887905
str_m3_o4_o5_pcu_sym.13,37.161682,41.88017
str_m3_o14_o22_pcu_sym.61,27.685856,39.459328
str_m2_o1_o18_pcu_sym.10,47.2522,46.88799
str_m7_o10_o22_bcu_sym.108,33.08976,28.620459
str_m2_o1_o22_pcu_sym.19,71.01811,59.26714
str_m2_o1_o18_pcu_sym.152,40.558155,29.252316
str_m7_o4_o9_bcu_sym.108,59.220753,39.769325
str_m5_o2_o2_sra_sym.80,58.831917,68.74917
str_m2_o10_o14_pcu_sym.87,108.74628,80.66421
str_m2_o4_o12_pcu_sym.221,36.36263,30.902857
str_m3_o1_o14_pcu_sym.57,51.450184,58.135853
str_m2_o5_o29_pcu_sym.93,31.066042,25.389946
str_m2_o4_o13_pcu_sym.117,46.448483,35.41216
str_m2_o10_o14_pcu_sym.4,79.907,64.66684
str_m5_o11_o16_sra_sym.190,61.343346,70.63915
str_m5_o2_o19_sra_sym.67,181.55804,119.80244
str_m3_o12_o15_pcu_sym.82,25.333883,36.07429
str_m3_o10_o29_pcu_sym.143,30.653181,30.08876
str_m5_o2_o17_sra_sym.97,78.45153,57.97706
str_m4_o22_o24_acs_sym.104,69.22724,62.614418
str_m4_o15_o24_acs_sym.51,92.34216,89.51085
str_m4_o5_o14_acs_sym.165,83.61781,95.27731
str_m3_o10_o18_pcu_sym.120,57.678783,71.20724
str_m2_o14_o16_pcu_sym.143,33.53682,49.907692
str_m5_o5_o18_sra_sym.91,51.53246,48.796955
str_m5_o1_o18_sra_sym.73,78.12877,82.609314
str_m2_o1_o25_pcu_sym.51,66.28834,77.71243
str_m5_o6_o16_sra_sym.93,43.17662,48.836662
str_m2_o5_o29_pcu_sym.98,46.205757,45.205536
str_m2_o4_o9_pcu_sym.41,31.337513,33.8032
str_m4_o4_o22_acs_sym.71,61.02394,66.424835
str_m3_o14_o17_pcu_sym.216,71.22824,61.98287
str_m2_o10_o29_pcu_sym.70,66.78904,54.138424
str_m2_o13_o15_pcu_sym.232,24.293564,34.820065
str_m3_o1_o13_pcu_sym.155,54.083954,56.12241
str_m4_o1_o9_acs_sym.28,39.934444,48.116577
str_m7_o4_o22_bcu_sym.76,32.05408,31.759054
str_m4_o4_o15_acs_sym.18,58.67478,83.17954
str_m3_o10_o28_pcu_sym.67,60.219402,62.251347
str_m3_o14_o18_pcu_sym.151,39.107685,37.279453
str_m4_o1_o22_acs_sym.165,109.41604,77.58472
str_m3_o5_o7_pcu_sym.11,15.900824,31.593735
str_m7_o4_o9_bcu_sym.112,27.704597,29.9918
str_m2_o4_o14_pcu_sym.141,81.14062,71.948
str_m4_o1_o22_acs_sym.71,39.451878,42.23237
str_m5_o16_o17_sra_sym.125,44.66682,46.30449
str_m2_o10_o17_pcu_sym.233,41.13781,49.94545
str_m2_o11_o16_pcu_sym.233,48.31774,44.274292
str_m5_o7_o18_sra_sym.4,28.617937,36.151684
str_m3_o5_o28_pcu_sym.96,25.194286,25.18911
str_m5_o11_o16_sra_sym.53,77.904045,79.831924
str_m4_o15_o24_acs_sym.134,132.11261,100.52988
str_m2_o14_o22_pcu_sym.66,30.51894,41.714016
str_m5_o16_o17_sra_sym.8,31.492754,37.863968
str_m4_o15_o24_acs_sym.35,95.63292,98.52559
str_m7_o11_o11_bcu_sym.121,25.173977,35.63461
str_m3_o1_o10_pcu_sym.176,70.56198,47.177593
str_m2_o16_o16_pcu_sym.94,31.656069,30.742294
str_m5_o5_o18_sra_sym.18,38.335114,37.488197
str_m3_o22_o22_pcu_sym.104,81.29569,75.57854
str_m5_o16_o26_sra_sym.34,47.466736,36.66841
str_m4_o22_o22_acs_sym.26,80.27837,61.413185
str_m2_o11_o23_pcu_sym.147,159.97038,87.3112
str_m4_o7_o7_acs_sym.142,30.033354,45.032234
str_m5_o16_o19_sra_sym.171,90.78834,62.404064
str_m4_o4_o11_acs_sym.15,38.441433,71.887314
str_m5_o18_o19_sra_sym.4,44.288704,47.762962
str_m3_o5_o29_pcu_sym.2,24.363525,24.068655
str_m2_o12_o17_pcu_sym.153,72.95174,49.43736
str_m3_o5_o24_pcu_sym.84,45.96508,50.6604
str_m3_o5_o29_pcu_sym.45,34.393322,31.436394
str_m5_o18_o23_sra_sym.274,27.787773,39.1773
str_m3_o40_o40_fof_sym.35,25.91696,26.039541
str_m3_o40_o41_fof_sym.63,39.82775,41.095818
str_m3_o10_o17_pcu_sym.119,41.92372,36.18995
str_m5_o13_o2_sra_sym.235,66.039185,66.31285
str_m3_o1_o14_pcu_sym.206,47.635788,38.731464
str_m3_o10_o29_pcu_sym.163,36.11287,42.961433
str_m3_o5_o29_pcu_sym.36,22.291756,25.969955
str_m5_o2_o17_sra_sym.29,68.69066,45.694164
str_m4_o1_o14_acs_sym.253,108.02155,107.73436
str_m2_o14_o18_pcu_sym.151,22.059196,21.052685
str_m3_o10_o18_pcu_sym.80,51.673122,57.013546
str_m2_o4_o25_pcu_sym.95,27.915545,34.101955
str_m4_o19_o22_acs_sym.148,50.01395,61.2253
str_m5_o16_o23_sra_sym.83,37.575695,41.460827
str_m2_o18_o18_pcu_sym.60,33.178234,35.437862
str_m4_o24_o24_acs_sym.54,71.856514,74.93257
str_m3_o1_o13_pcu_sym.133,27.800291,36.646893
str_m2_o14_o14_pcu_sym.143,33.184692,38.555054
str_m5_o1_o16_sra_sym.45,61.192745,61.940285
str_m4_o5_o24_acs_sym.149,47.51381,63.688717
str_m7_o4_o22_bcu_sym.220,38.216866,33.499893
str_m2_o17_o24_pcu_sym.94,28.4027,30.812946
str_m4_o4_o11_acs_sym.17,63.455906,76.06476
str_m4_o2_o17_acs_sym.72,30.640816,34.83653
str_m2_o41_o41_fof_sym.15,24.850063,30.043375
str_m3_o14_o22_pcu_sym.193,33.898067,36.364082
str_m5_o16_o17_sra_sym.36,112.32422,78.08132
str_m3_o14_o17_pcu_sym.27,48.608498,46.75541
str_m2_o10_o17_pcu_sym.28,70.05327,52.345615
str_m3_o16_o22_pcu_sym.236,23.594265,29.355057
str_m2_o14_o16_pcu_sym.148,24.569633,29.067623
str_m3_o10_o29_pcu_sym.209,36.330353,55.358658
str_m3_o14_o16_pcu_sym.181,25.337606,26.219242
str_m2_o11_o29_pcu_sym.25,29.477806,33.37656
str_m5_o2_o25_sra_sym.198,53.403767,50.555943
str_m2_o14_o14_pcu_sym.86,129.37505,92.39114
str_m2_o16_o16_pcu_sym.62,39.668755,42.20542
str_m7_o4_o13_bcu_sym.164,30.631763,41.255386
str_m2_o4_o10_pcu_sym.84,25.449198,28.216148
str_m4_o22_o22_acs_sym.53,71.08521,64.08677
str_m5_o13_o18_sra_sym.26,99.52741,45.7625
str_m5_o2_o23_sra_sym.54,66.68327,82.65506
str_m2_o4_o24_pcu_sym.43,44.788605,36.844868
str_m3_o4_o9_pcu_sym.223,59.622604,43.369152
str_m5_o13_o18_sra_sym.186,54.983917,39.05983
str_m3_o1_o10_pcu_sym.138,21.50871,27.78467
str_m2_o1_o18_pcu_sym.202,37.856895,36.34902
str_m5_o11_o18_sra_sym.118,85.19375,76.02388
str_m2_o4_o9_pcu_sym.84,42.409058,42.48644
str_m2_o10_o17_pcu_sym.32,21.608187,23.121246
str_m7_o9_o10_bcu_sym.62,46.48442,35.537563
str_m5_o7_o16_sra_sym.51,32.969517,36.004253
str_m2_o10_o13_pcu_sym.130,68.25148,41.043156
str_m7_o9_o11_bcu_sym.140,62.166553,58.352406
str_m3_o16_o22_pcu_sym.225,26.467281,34.3194
str_m4_o11_o11_acs_sym.44,41.176556,49.79229
str_m3_o4_o23_pcu_sym.91,36.146015,33.81307
str_m3_o14_o22_pcu_sym.109,26.103563,39.271824
str_m3_o14_o16_pcu_sym.45,39.17994,27.372208
str_m5_o16_o17_sra_sym.6,41.333717,58.477345
str_m2_o10_o27_pcu_sym.204,67.112526,55.449955
str_m7_o9_o22_bcu_sym.40,46.89377,44.69465
str_m3_o12_o15_pcu_sym.6,32.791965,41.02596
str_m5_o4_o18_sra_sym.88,135.2689,75.97998
str_m5_o13_o2_sra_sym.37,103.81657,65.80423
str_m4_o1_o24_acs_sym.43,73.30115,81.39336
str_m3_o41_o41_fof_sym.50,57.416218,53.470104
str_m4_o4_o11_acs_sym.35,80.66199,85.23646
str_m3_o14_o18_pcu_sym.174,27.102898,26.737751
str_m2_o12_o17_pcu_sym.228,59.471115,44.76221
str_m2_o14_o16_pcu_sym.116,31.86234,27.644585
str_m2_o2_o10_pcu_sym.235,44.88182,51.32138
str_m2_o13_o15_pcu_sym.235,51.31112,52.390125
str_m2_o5_o29_pcu_sym.7,20.741217,23.835165
str_m2_o18_o22_pcu_sym.252,24.973133,29.652508
str_m5_o16_o24_sra_sym.95,110.27596,91.89606
str_m4_o17_o17_acs_sym.73,29.887434,36.043613
str_m5_o7_o17_sra_sym.41,41.29365,43.106277
str_m3_o40_o40_fof_sym.2,37.55217,42.112904
str_m3_o13_o24_pcu_sym.82,45.41253,50.14491
str_m2_o14_o18_pcu_sym.85,30.691517,33.508648
str_m5_o3_o18_sra_sym.31,41.293655,37.370106
str_m4_o4_o9_acs_sym.94,72.97084,90.8394
str_m2_o10_o17_pcu_sym.87,60.1322,56.585155
str_m5_o11_o18_sra_sym.34,64.85693,51.801243
str_m3_o14_o18_pcu_sym.102,31.47764,27.061714
str_m4_o4_o22_acs_sym.64,89.15068,94.21361
str_m5_o8_o16_sra_sym.74,35.886234,40.7014
str_m2_o12_o17_pcu_sym.35,37.16238,44.39732
str_m5_o7_o18_sra_sym.46,38.48571,37.707253
str_m2_o1_o14_pcu_sym.214,109.955,60.471237
str_m5_o13_o2_sra_sym.76,119.58689,76.4641
str_m5_o16_o24_sra_sym.55,75.92097,82.1015
str_m5_o2_o2_sra_sym.63,74.44073,82.07463
str_m2_o4_o18_pcu_sym.241,55.463608,44.437405
str_m5_o10_o29_sra_sym.64,142.81406,82.835335
str_m2_o9_o18_pcu_sym.270,26.16211,32.112564
str_m5_o11_o18_sra_sym.223,118.15095,97.270355
str_m5_o18_o23_sra_sym.15,42.202473,43.4123
str_m3_o14_o18_pcu_sym.47,63.562992,43.104553
str_m3_o5_o22_pcu_sym.52,48.28681,38.61055
