ids,target,prediction
str_m2_o12_o17_pcu_sym.119,30.458988,25.462685
str_m2_o14_o16_pcu_sym.82,32.43701,32.825417
str_m3_o4_o10_pcu_sym.215,32.457222,78.65828
str_m5_o11_o2_sra_sym.32,32.916252,44.919735
str_m3_o10_o29_pcu_sym.22,28.239447,30.247463
str_m2_o1_o17_pcu_sym.61,32.45994,32.397152
str_m5_o18_o28_sra_sym.65,41.374405,35.71073
str_m5_o16_o17_sra_sym.85,45.52023,40.330986
str_m5_o11_o16_sra_sym.155,85.871315,90.57053
str_m5_o1_o13_sra_sym.128,66.12501,64.021034
str_m2_o10_o28_pcu_sym.251,80.76608,81.93869
str_m2_o40_o40_fof_sym.91,28.131655,34.212162
str_m3_o16_o22_pcu_sym.77,79.569305,66.76458
str_m2_o4_o22_pcu_sym.108,50.00182,37.679028
str_m3_o4_o11_pcu_sym.17,43.093697,29.971878
str_m3_o4_o21_pcu_sym.256,61.747017,56.0262
str_m2_o11_o17_pcu_sym.8,20.743534,24.168333
str_m7_o9_o11_bcu_sym.22,43.448578,47.633526
str_m2_o12_o16_pcu_sym.105,46.860058,41.255264
str_m5_o11_o16_sra_sym.220,94.04733,90.15397
str_m2_o1_o21_pcu_sym.17,40.558083,35.160465
str_m5_o13_o25_sra_sym.78,49.585815,36.90887
str_m5_o16_o19_sra_sym.49,45.262207,83.845665
str_m2_o10_o17_pcu_sym.138,60.184826,81.706985
str_m2_o4_o9_pcu_sym.61,29.34755,42.874557
str_m2_o16_o18_pcu_sym.223,42.355694,31.910614
str_m3_o5_o26_pcu_sym.133,33.102543,34.994
str_m3_o14_o24_pcu_sym.47,69.57663,67.82083
str_m5_o11_o18_sra_sym.76,60.619198,48.008938
str_m3_o1_o16_pcu_sym.168,58.91738,54.879612
str_m5_o2_o23_sra_sym.78,72.380226,75.82013
str_m2_o11_o29_pcu_sym.25,29.477806,31.358152
str_m5_o11_o16_sra_sym.206,96.55573,78.99422
str_m3_o14_o24_pcu_sym.102,36.813297,31.112677
str_m2_o10_o18_pcu_sym.26,20.255322,26.762953
str_m7_o1_o9_bcu_sym.136,30.29571,36.884518
str_m2_o1_o16_pcu_sym.197,34.395588,26.904121
