ids,target,prediction
str_m2_o5_o29_pcu_sym.49,33.678757,29.643204
str_m4_o24_o24_acs_sym.47,38.604443,67.1153
str_m3_o1_o17_pcu_sym.207,23.102337,25.518084
str_m4_o12_o15_acs_sym.88,65.74201,76.03792
str_m3_o10_o17_pcu_sym.23,95.66099,59.158863
str_m3_o14_o21_pcu_sym.171,72.57142,73.499565
str_m7_o9_o22_bcu_sym.12,65.36523,49.24819
str_m2_o14_o14_pcu_sym.58,79.4994,49.95729
str_m3_o10_o15_pcu_sym.20,91.75893,81.97513
str_m3_o40_o40_fof_sym.53,36.572113,33.466064
str_m4_o17_o17_acs_sym.126,41.672874,47.951107
str_m3_o10_o29_pcu_sym.192,27.863297,30.77027
str_m2_o1_o10_pcu_sym.38,45.546757,42.94692
str_m3_o14_o18_pcu_sym.166,43.214,43.229893
str_m4_o14_o22_acs_sym.42,165.80064,97.627815
str_m2_o12_o14_pcu_sym.19,43.99687,32.51418
str_m4_o1_o14_acs_sym.16,81.6678,86.920845
str_m5_o16_o17_sra_sym.116,52.101074,63.22527
str_m2_o40_o40_fof_sym.89,24.580843,23.746937
str_m2_o16_o16_pcu_sym.193,35.410343,34.63597
str_m4_o1_o14_acs_sym.93,95.81,105.754105
str_m3_o14_o16_pcu_sym.126,33.70239,29.736359
str_m2_o1_o23_pcu_sym.190,66.60467,69.790596
str_m2_o12_o18_pcu_sym.176,36.243534,30.209871
str_m5_o16_o16_sra_sym.68,59.79833,68.88415
str_m3_o12_o15_pcu_sym.96,47.252884,40.169556
str_m3_o4_o13_pcu_sym.69,20.67206,32.41338
str_m2_o18_o24_pcu_sym.138,28.3071,29.618725
str_m2_o12_o17_pcu_sym.115,31.24022,32.5701
str_m3_o10_o29_pcu_sym.53,27.667776,29.83037
str_m3_o14_o17_pcu_sym.94,33.767517,31.345434
str_m3_o1_o4_pcu_sym.230,72.68826,63.88908
str_m5_o1_o18_sra_sym.12,148.70897,100.5068
str_m3_o10_o26_pcu_sym.124,56.21797,39.921227
str_m4_o19_o24_acs_sym.177,93.64352,96.15278
str_m3_o14_o28_pcu_sym.21,37.922264,31.63768
str_m4_o22_o24_acs_sym.56,56.083755,61.467644
str_m5_o4_o2_sra_sym.1,54.608425,51.424023
str_m3_o5_o17_pcu_sym.31,21.464003,37.131683
str_m5_o16_o24_sra_sym.139,98.41305,91.067795
str_m4_o1_o22_acs_sym.73,38.69255,46.160606
str_m2_o5_o29_pcu_sym.12,47.90064,35.24449
str_m2_o1_o14_pcu_sym.175,24.574766,36.446987
str_m4_o1_o15_acs_sym.154,79.11507,67.88232
str_m5_o18_o25_sra_sym.87,28.365185,29.229553
str_m7_o9_o12_bcu_sym.85,30.03768,31.385616
str_m2_o16_o16_pcu_sym.32,43.925568,29.39983
str_m3_o38_o41_fof_sym.137,46.24132,41.497875
str_m5_o4_o2_sra_sym.29,68.87213,57.653084
str_m5_o16_o24_sra_sym.93,68.85183,84.59533
str_m5_o8_o16_sra_sym.182,40.20527,43.40947
str_m2_o10_o17_pcu_sym.127,78.37633,50.25568
str_m5_o13_o2_sra_sym.60,106.81068,82.80727
str_m5_o2_o17_sra_sym.43,39.45896,50.719574
str_m3_o4_o18_pcu_sym.204,63.874126,53.112373
str_m5_o17_o19_sra_sym.81,62.23844,37.79615
str_m4_o4_o5_acs_sym.113,74.89501,63.760445
str_m7_o4_o4_bcu_sym.41,27.44554,38.581215
str_m7_o4_o9_bcu_sym.14,33.05164,29.457653
str_m2_o9_o14_pcu_sym.135,42.152504,46.6226
str_m3_o14_o17_pcu_sym.76,36.752132,40.50363
str_m5_o17_o20_sra_sym.48,54.532265,54.075077
str_m5_o16_o19_sra_sym.85,72.08925,61.614857
str_m4_o22_o24_acs_sym.20,157.96944,78.16079
str_m5_o2_o16_sra_sym.88,90.47423,103.762
str_m3_o4_o10_pcu_sym.3,26.298267,36.503708
str_m5_o16_o22_sra_sym.3,149.47629,114.28868
str_m5_o18_o28_sra_sym.69,37.74411,35.18795
str_m2_o9_o21_pcu_sym.87,52.264523,38.400433
str_m7_o1_o9_bcu_sym.48,47.649044,40.02284
str_m5_o11_o18_sra_sym.186,44.459675,46.084515
str_m2_o14_o16_pcu_sym.195,35.1015,35.44135
str_m4_o12_o15_acs_sym.41,75.42411,63.006622
str_m4_o4_o14_acs_sym.55,77.248024,80.044395
str_m5_o11_o16_sra_sym.199,93.63907,71.32957
str_m2_o1_o26_pcu_sym.52,26.4214,54.416206
str_m7_o9_o12_bcu_sym.50,38.62752,32.260258
str_m7_o1_o22_bcu_sym.104,28.654222,32.512543
str_m3_o14_o16_pcu_sym.206,40.095592,38.001274
str_m4_o19_o24_acs_sym.138,79.44234,98.77335
str_m3_o10_o14_pcu_sym.149,42.282032,49.671207
str_m7_o9_o11_bcu_sym.19,38.570244,45.06897
str_m3_o4_o4_pcu_sym.204,57.400635,48.797905
str_m7_o1_o9_bcu_sym.78,36.767727,37.506195
str_m2_o12_o17_pcu_sym.21,21.628384,27.204792
str_m3_o13_o14_pcu_sym.204,35.06771,50.6314
str_m4_o4_o24_acs_sym.133,154.83492,95.58852
str_m5_o18_o19_sra_sym.105,77.46717,79.73363
str_m5_o16_o18_sra_sym.11,93.00471,91.41511
str_m5_o17_o18_sra_sym.13,31.174627,38.28763
str_m3_o24_o28_pcu_sym.18,113.21174,57.50295
str_m3_o10_o17_pcu_sym.25,20.754297,66.449684
str_m5_o4_o18_sra_sym.30,94.17067,105.82366
str_m7_o9_o10_bcu_sym.79,53.084606,44.57515
str_m2_o1_o9_pcu_sym.164,35.14044,43.496628
str_m2_o11_o22_pcu_sym.70,49.08127,49.47836
str_m2_o10_o28_pcu_sym.235,43.295334,54.415257
str_m5_o2_o18_sra_sym.46,250.7013,104.928345
str_m5_o10_o29_sra_sym.119,60.40977,58.80012
str_m3_o1_o5_pcu_sym.50,49.66258,31.922739
str_m4_o4_o15_acs_sym.93,96.67545,82.842094
str_m5_o11_o2_sra_sym.178,45.813824,47.243847
str_m2_o4_o19_pcu_sym.79,34.181725,41.7385
str_m5_o18_o28_sra_sym.242,38.055553,34.975407
str_m5_o18_o25_sra_sym.60,40.681625,42.317688
str_m4_o5_o14_acs_sym.118,72.3133,78.12496
str_m2_o10_o28_pcu_sym.109,56.05806,69.87258
str_m3_o1_o1_pcu_sym.11,29.005552,42.449013
str_m5_o3_o18_sra_sym.89,40.31374,40.670097
str_m2_o1_o16_pcu_sym.60,30.13499,32.99303
str_m3_o16_o16_pcu_sym.65,35.020813,33.6694
str_m3_o10_o11_pcu_sym.117,56.094006,54.631706
str_m3_o10_o17_pcu_sym.188,29.778614,37.40722
str_m5_o16_o16_sra_sym.69,99.543434,78.5339
str_m2_o14_o14_pcu_sym.113,49.860054,49.835724
str_m5_o18_o19_sra_sym.9,64.32998,56.964794
str_m7_o4_o9_bcu_sym.16,58.26338,44.08047
str_m2_o10_o29_pcu_sym.202,57.177963,62.579506
str_m2_o10_o28_pcu_sym.250,42.85441,43.327263
str_m2_o1_o14_pcu_sym.41,31.89478,31.08202
str_m3_o1_o16_pcu_sym.110,41.047638,40.52396
str_m5_o18_o23_sra_sym.26,42.707363,40.619408
str_m2_o14_o18_pcu_sym.56,20.142996,25.720114
str_m2_o12_o17_pcu_sym.184,26.00779,42.65324
str_m5_o10_o29_sra_sym.191,86.73,68.081795
str_m4_o4_o11_acs_sym.150,90.65626,84.0358
str_m3_o14_o16_pcu_sym.204,62.218735,38.21392
str_m7_o9_o12_bcu_sym.137,26.574268,29.080938
str_m3_o5_o28_pcu_sym.52,37.214584,44.819862
str_m7_o4_o24_bcu_sym.36,33.32865,40.99384
str_m4_o4_o22_acs_sym.60,59.66907,74.801254
str_m2_o1_o22_pcu_sym.162,39.14301,33.927193
str_m5_o13_o23_sra_sym.85,38.000835,48.756207
str_m5_o5_o16_sra_sym.50,110.085785,106.78663
str_m3_o10_o18_pcu_sym.1,48.81374,50.44702
str_m2_o4_o5_pcu_sym.101,35.509914,47.90778
str_m5_o16_o19_sra_sym.89,49.264862,48.72583
str_m2_o13_o14_pcu_sym.233,66.03706,42.851807
str_m5_o16_o24_sra_sym.90,111.11274,85.512215
str_m3_o4_o9_pcu_sym.184,58.1854,54.54368
str_m3_o4_o9_pcu_sym.4,96.88499,48.588905
str_m2_o9_o18_pcu_sym.157,46.483906,34.030403
str_m5_o16_o23_sra_sym.87,37.34176,42.047867
str_m3_o40_o41_fof_sym.34,27.590506,28.849236
str_m7_o9_o12_bcu_sym.144,37.883396,35.873146
str_m3_o18_o24_pcu_sym.133,35.290466,34.17142
str_m2_o14_o14_pcu_sym.111,32.709442,43.144863
str_m3_o13_o14_pcu_sym.200,90.31915,100.11442
str_m2_o10_o29_pcu_sym.76,103.77627,80.08829
str_m3_o14_o16_pcu_sym.142,74.311775,44.31476
str_m2_o14_o16_pcu_sym.105,57.8916,60.067253
str_m3_o10_o16_pcu_sym.8,133.38086,72.70692
str_m4_o11_o14_acs_sym.30,56.46959,60.261448
str_m2_o24_o28_pcu_sym.74,44.298138,30.325111
str_m4_o4_o15_acs_sym.10,91.62539,88.38522
str_m3_o14_o16_pcu_sym.2,35.882656,29.830019
str_m2_o9_o20_pcu_sym.35,23.486216,27.994808
str_m5_o3_o18_sra_sym.45,29.231981,31.617025
str_m4_o4_o24_acs_sym.23,86.235886,78.48493
str_m5_o16_o23_sra_sym.50,38.45539,42.754753
str_m3_o14_o17_pcu_sym.11,62.456455,40.760418
str_m5_o16_o16_sra_sym.56,102.37761,70.01791
str_m2_o16_o22_pcu_sym.22,25.624695,28.576027
str_m2_o5_o28_pcu_sym.12,29.217575,27.774176
str_m3_o12_o15_pcu_sym.6,32.791965,44.444546
str_m2_o22_o26_pcu_sym.189,42.42098,55.842407
str_m5_o11_o16_sra_sym.14,57.724163,62.01446
str_m4_o1_o11_acs_sym.178,55.41376,66.67661
str_m5_o11_o18_sra_sym.151,58.227585,68.08253
str_m5_o10_o28_sra_sym.50,67.033905,51.330196
str_m2_o9_o21_pcu_sym.21,42.920414,41.068703
str_m3_o13_o14_pcu_sym.69,41.364616,70.0368
str_m4_o4_o4_acs_sym.23,94.48793,72.84588
str_m2_o1_o16_pcu_sym.168,41.000507,38.313324
str_m1_o5_o28_pcu_sym.131,46.329735,34.431385
str_m3_o12_o16_pcu_sym.185,28.32987,32.98413
str_m5_o11_o16_sra_sym.67,62.1457,60.83277
str_m7_o10_o24_bcu_sym.125,21.328598,36.26217
str_m2_o4_o16_pcu_sym.186,51.043453,40.42331
str_m5_o10_o28_sra_sym.46,51.077374,50.71372
str_m5_o5_o13_sra_sym.97,86.536064,68.82208
str_m2_o16_o16_pcu_sym.122,35.11845,38.023705
str_m5_o10_o29_sra_sym.166,39.726917,49.938293
str_m3_o5_o17_pcu_sym.36,21.374693,24.344967
str_m4_o14_o22_acs_sym.13,76.60693,83.01303
str_m5_o18_o29_sra_sym.87,44.393524,34.417587
str_m3_o41_o41_fof_sym.32,62.118504,48.933533
str_m5_o11_o16_sra_sym.81,79.23895,81.24125
str_m5_o4_o16_sra_sym.21,42.429405,79.335075
str_m5_o1_o1_sra_sym.62,92.609215,67.476006
str_m3_o4_o14_pcu_sym.42,27.77612,29.777573
str_m7_o9_o10_bcu_sym.163,35.28059,45.56039
str_m2_o40_o41_fof_sym.61,63.50007,47.21666
str_m3_o4_o17_pcu_sym.110,55.29685,38.97281
str_m3_o11_o16_pcu_sym.173,38.447838,32.118675
str_m3_o10_o29_pcu_sym.36,43.553627,40.62822
str_m3_o4_o24_pcu_sym.179,64.34775,58.21599
str_m5_o13_o18_sra_sym.61,92.854294,95.91303
str_m5_o10_o29_sra_sym.185,59.479534,56.69443
str_m2_o16_o16_pcu_sym.19,45.584732,37.27362
str_m4_o1_o15_acs_sym.43,37.44287,56.77444
str_m2_o16_o25_pcu_sym.150,30.074242,33.45804
str_m3_o10_o14_pcu_sym.210,48.813675,40.164894
str_m2_o16_o16_pcu_sym.28,28.426699,28.704819
str_m2_o5_o27_pcu_sym.38,94.912056,64.911385
str_m7_o1_o9_bcu_sym.15,46.585125,36.81055
str_m5_o16_o20_sra_sym.23,38.407585,28.88815
str_m5_o10_o29_sra_sym.24,65.28017,63.48024
str_m2_o4_o11_pcu_sym.132,35.93167,37.592278
str_m3_o4_o10_pcu_sym.6,27.163177,46.59321
str_m2_o4_o9_pcu_sym.216,51.30901,40.12441
str_m3_o10_o29_pcu_sym.82,49.983177,45.26135
str_m3_o40_o41_fof_sym.186,38.576397,31.73476
str_m3_o14_o16_pcu_sym.156,79.26147,48.37563
str_m2_o12_o15_pcu_sym.18,47.82782,36.98487
str_m5_o11_o18_sra_sym.188,140.01149,95.80257
str_m3_o5_o17_pcu_sym.5,105.61207,76.57833
str_m2_o9_o18_pcu_sym.9,31.627836,31.820549
str_m5_o18_o25_sra_sym.65,49.27619,38.02677
str_m5_o13_o16_sra_sym.1,33.714733,37.888237
str_m4_o2_o17_acs_sym.254,32.175068,35.13332
str_m4_o22_o24_acs_sym.21,54.493168,64.519844
str_m5_o16_o19_sra_sym.92,50.354942,63.990788
str_m2_o40_o41_fof_sym.36,30.48453,31.40031
str_m5_o11_o18_sra_sym.135,71.47532,61.043133
