ids,target,prediction
str_m4_o1_o24_acs_sym.117,64.49153,90.644585
str_m2_o14_o24_pcu_sym.180,29.446508,43.410255
str_m5_o2_o25_sra_sym.48,49.684456,50.245308
str_m4_o1_o4_acs_sym.36,54.203213,72.6362
str_m2_o1_o21_pcu_sym.165,29.78532,29.566328
str_m4_o4_o4_acs_sym.102,90.03201,109.59463
str_m2_o10_o29_pcu_sym.208,64.75176,52.11341
str_m4_o4_o5_acs_sym.2,82.65479,104.20516
str_m2_o10_o16_pcu_sym.155,35.82365,41.88224
str_m4_o1_o22_acs_sym.21,65.0135,84.27074
str_m5_o11_o18_sra_sym.187,50.712357,51.789116
str_m5_o18_o20_sra_sym.29,39.15588,54.80516
str_m5_o7_o18_sra_sym.1,30.021505,30.429314
str_m5_o18_o28_sra_sym.16,49.7314,44.810104
str_m2_o4_o16_pcu_sym.103,25.045534,31.169115
str_m3_o10_o10_pcu_sym.21,143.85463,31.004997
str_m2_o4_o19_pcu_sym.176,32.431503,41.836784
str_m4_o22_o22_acs_sym.3,81.598495,63.57013
str_m5_o16_o24_sra_sym.55,75.92097,83.46671
str_m3_o14_o14_pcu_sym.196,36.003788,37.05642
str_m3_o1_o9_pcu_sym.77,23.480005,45.659294
str_m5_o13_o20_sra_sym.76,59.498898,54.022385
str_m2_o4_o4_pcu_sym.103,27.977201,41.48568
str_m2_o13_o15_pcu_sym.75,28.054405,26.264482
str_m7_o9_o24_bcu_sym.144,41.77918,48.900707
str_m5_o16_o25_sra_sym.63,52.036648,45.358322
str_m5_o13_o18_sra_sym.25,126.24815,83.19367
str_m2_o5_o29_pcu_sym.14,26.108906,27.209759
str_m3_o5_o17_pcu_sym.49,65.00582,46.96515
str_m5_o11_o16_sra_sym.112,87.0015,73.884735
str_m5_o17_o18_sra_sym.77,48.991028,55.825966
str_m4_o14_o14_acs_sym.112,86.71007,83.07609
str_m3_o10_o29_pcu_sym.115,54.306366,48.87064
str_m5_o16_o24_sra_sym.38,98.26305,104.06972
str_m4_o1_o9_acs_sym.179,89.22377,81.143974
str_m2_o13_o14_pcu_sym.40,50.283615,38.905983
str_m2_o14_o23_pcu_sym.99,37.128857,42.969933
str_m7_o1_o9_bcu_sym.24,35.23589,41.986847
str_m3_o1_o17_pcu_sym.201,51.36027,55.634956
str_m2_o10_o17_pcu_sym.140,63.331493,69.00083
str_m5_o2_o20_sra_sym.10,73.06349,73.563774
str_m3_o4_o16_pcu_sym.137,43.810574,39.911304
str_m4_o11_o11_acs_sym.74,48.185047,64.17197
str_m2_o12_o14_pcu_sym.234,91.720566,65.541084
str_m3_o13_o15_pcu_sym.35,19.857042,16.445972
str_m3_o10_o17_pcu_sym.31,59.386047,63.86392
str_m4_o4_o24_acs_sym.98,70.224846,102.54456
str_m2_o10_o29_pcu_sym.191,74.95294,70.746056
str_m5_o16_o17_sra_sym.52,62.42993,73.42025
str_m5_o1_o16_sra_sym.2,45.09392,81.01218
str_m7_o1_o9_bcu_sym.40,35.908672,37.935432
str_m2_o10_o16_pcu_sym.65,53.18943,51.01484
str_m4_o4_o15_acs_sym.133,67.77548,88.51478
str_m7_o4_o4_bcu_sym.69,53.680946,32.76889
str_m2_o4_o17_pcu_sym.157,48.028904,39.303963
str_m4_o22_o24_acs_sym.112,48.83852,63.42216
